run_id,generation_id,variation_id,format_id,attempt_id,structure,task,text_prompt,image_prompt,response,predicted,ground_truth,match,similarity,node_font,node_color,node_shape,edge_width,arrow_style,num_nodes,resolution,task_id,image_id
1,1-0,1,1,1,binary_tree,pre_order,'Provide a single-line Python list[int] representing the pre-order traversal for the image of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_1-wid_50-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_cfcd794a-0fe8-4d03-afc9-54ba9178c6dd.png," [64, 20, 75]","[64, 20, 75]","[64, 20, 75]",True,100.0,sans-serif,#ffffff,o,5.0,-|>,3,512,33383022-796b-412c-bc6a-4ca5c99f0d74,cfcd794a-0fe8-4d03-afc9-54ba9178c6dd
2,1-0,1,1,2,binary_tree,pre_order,'Provide a single-line Python list[int] representing the pre-order traversal for the image of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_1-wid_50-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_cfcd794a-0fe8-4d03-afc9-54ba9178c6dd.png," [64, 20, 75]","[64, 20, 75]","[64, 20, 75]",True,100.0,sans-serif,#ffffff,o,5.0,-|>,3,512,33383022-796b-412c-bc6a-4ca5c99f0d74,cfcd794a-0fe8-4d03-afc9-54ba9178c6dd
3,1-0,1,1,3,binary_tree,pre_order,'Provide a single-line Python list[int] representing the pre-order traversal for the image of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_1-wid_50-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_cfcd794a-0fe8-4d03-afc9-54ba9178c6dd.png," [64, 20, 75]","[64, 20, 75]","[64, 20, 75]",True,100.0,sans-serif,#ffffff,o,5.0,-|>,3,512,33383022-796b-412c-bc6a-4ca5c99f0d74,cfcd794a-0fe8-4d03-afc9-54ba9178c6dd
4,1-0,1,1,1,binary_tree,in_order,'Provide a single-line Python list[int] representing the in-order traversal for the image of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_1-wid_50-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_cfcd794a-0fe8-4d03-afc9-54ba9178c6dd.png," [20, 64, 75]","[20, 64, 75]","[20, 64, 75]",True,100.0,sans-serif,#ffffff,o,5.0,-|>,3,512,ce1e2be4-eb75-4dfe-bba6-ef5f2eae304c,cfcd794a-0fe8-4d03-afc9-54ba9178c6dd
5,1-0,1,1,2,binary_tree,in_order,'Provide a single-line Python list[int] representing the in-order traversal for the image of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_1-wid_50-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_cfcd794a-0fe8-4d03-afc9-54ba9178c6dd.png," [20, 64, 75]","[20, 64, 75]","[20, 64, 75]",True,100.0,sans-serif,#ffffff,o,5.0,-|>,3,512,ce1e2be4-eb75-4dfe-bba6-ef5f2eae304c,cfcd794a-0fe8-4d03-afc9-54ba9178c6dd
6,1-0,1,1,3,binary_tree,in_order,'Provide a single-line Python list[int] representing the in-order traversal for the image of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_1-wid_50-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_cfcd794a-0fe8-4d03-afc9-54ba9178c6dd.png," [20, 64, 75]","[20, 64, 75]","[20, 64, 75]",True,100.0,sans-serif,#ffffff,o,5.0,-|>,3,512,ce1e2be4-eb75-4dfe-bba6-ef5f2eae304c,cfcd794a-0fe8-4d03-afc9-54ba9178c6dd
7,1-0,1,1,1,binary_tree,post_order,'Provide a single-line Python list[int] representing the post-order traversal for the image of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_1-wid_50-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_cfcd794a-0fe8-4d03-afc9-54ba9178c6dd.png," [20, 75, 64]","[20, 75, 64]","[20, 75, 64]",True,100.0,sans-serif,#ffffff,o,5.0,-|>,3,512,36de8d8b-0e88-4915-b01a-fb9954a73e81,cfcd794a-0fe8-4d03-afc9-54ba9178c6dd
8,1-0,1,1,2,binary_tree,post_order,'Provide a single-line Python list[int] representing the post-order traversal for the image of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_1-wid_50-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_cfcd794a-0fe8-4d03-afc9-54ba9178c6dd.png," [20, 75, 64]","[20, 75, 64]","[20, 75, 64]",True,100.0,sans-serif,#ffffff,o,5.0,-|>,3,512,36de8d8b-0e88-4915-b01a-fb9954a73e81,cfcd794a-0fe8-4d03-afc9-54ba9178c6dd
9,1-0,1,1,3,binary_tree,post_order,'Provide a single-line Python list[int] representing the post-order traversal for the image of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_1-wid_50-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_cfcd794a-0fe8-4d03-afc9-54ba9178c6dd.png," [20, 75, 64]","[20, 75, 64]","[20, 75, 64]",True,100.0,sans-serif,#ffffff,o,5.0,-|>,3,512,36de8d8b-0e88-4915-b01a-fb9954a73e81,cfcd794a-0fe8-4d03-afc9-54ba9178c6dd
10,1-0,1,2,1,binary_tree,pre_order,'Provide a single-line Python list[int] representing the pre-order traversal for the image of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_2-wid_50-col_ffff00-fnt_sansserif-shp_o-arw_0-res_512-idn_83427977-dda6-439c-983e-c901db63f67a.png," [64, 20, 75]","[64, 20, 75]","[64, 20, 75]",True,100.0,sans-serif,#ffff00,o,5.0,-|>,3,512,25cfd53e-4678-45b4-a17d-1fdccf0ffc3e,83427977-dda6-439c-983e-c901db63f67a
11,1-0,1,2,2,binary_tree,pre_order,'Provide a single-line Python list[int] representing the pre-order traversal for the image of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_2-wid_50-col_ffff00-fnt_sansserif-shp_o-arw_0-res_512-idn_83427977-dda6-439c-983e-c901db63f67a.png," [64, 20, 75]","[64, 20, 75]","[64, 20, 75]",True,100.0,sans-serif,#ffff00,o,5.0,-|>,3,512,25cfd53e-4678-45b4-a17d-1fdccf0ffc3e,83427977-dda6-439c-983e-c901db63f67a
12,1-0,1,2,3,binary_tree,pre_order,'Provide a single-line Python list[int] representing the pre-order traversal for the image of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_2-wid_50-col_ffff00-fnt_sansserif-shp_o-arw_0-res_512-idn_83427977-dda6-439c-983e-c901db63f67a.png," [64, 20, 75]","[64, 20, 75]","[64, 20, 75]",True,100.0,sans-serif,#ffff00,o,5.0,-|>,3,512,25cfd53e-4678-45b4-a17d-1fdccf0ffc3e,83427977-dda6-439c-983e-c901db63f67a
13,1-0,1,2,1,binary_tree,in_order,'Provide a single-line Python list[int] representing the in-order traversal for the image of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_2-wid_50-col_ffff00-fnt_sansserif-shp_o-arw_0-res_512-idn_83427977-dda6-439c-983e-c901db63f67a.png," [20, 64, 75]","[20, 64, 75]","[20, 64, 75]",True,100.0,sans-serif,#ffff00,o,5.0,-|>,3,512,047291c7-09f2-4c58-b05a-76c93b55de6d,83427977-dda6-439c-983e-c901db63f67a
14,1-0,1,2,2,binary_tree,in_order,'Provide a single-line Python list[int] representing the in-order traversal for the image of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_2-wid_50-col_ffff00-fnt_sansserif-shp_o-arw_0-res_512-idn_83427977-dda6-439c-983e-c901db63f67a.png," [20, 64, 75]","[20, 64, 75]","[20, 64, 75]",True,100.0,sans-serif,#ffff00,o,5.0,-|>,3,512,047291c7-09f2-4c58-b05a-76c93b55de6d,83427977-dda6-439c-983e-c901db63f67a
