run_id,generation_id,variation_id,format_id,attempt_id,structure,task,text_prompt,image_prompt,response,predicted,ground_truth,match,similarity,node_font,node_color,node_shape,edge_width,arrow_style,num_nodes,resolution,task_id,image_id
1,1-0,1,1,1,binary_tree,pre_order,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_87d14e84-f77d-49d5-b8f6-9ff2907f2e56.png," [20, 5, 46]","[20, 5, 46]","[46, 20, 5]",False,33.33333333333333,sans-serif,#fee4b3,o,1.0,-|>,3,512,a0ad98bf-2bcb-4720-aaa3-dddfcd1ee34d,87d14e84-f77d-49d5-b8f6-9ff2907f2e56
2,1-0,1,1,2,binary_tree,pre_order,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_87d14e84-f77d-49d5-b8f6-9ff2907f2e56.png," [20, 5, 46]","[20, 5, 46]","[46, 20, 5]",False,33.33333333333333,sans-serif,#fee4b3,o,1.0,-|>,3,512,a0ad98bf-2bcb-4720-aaa3-dddfcd1ee34d,87d14e84-f77d-49d5-b8f6-9ff2907f2e56
3,1-0,1,1,3,binary_tree,pre_order,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_87d14e84-f77d-49d5-b8f6-9ff2907f2e56.png," [20, 5, 46]","[20, 5, 46]","[46, 20, 5]",False,33.33333333333333,sans-serif,#fee4b3,o,1.0,-|>,3,512,a0ad98bf-2bcb-4720-aaa3-dddfcd1ee34d,87d14e84-f77d-49d5-b8f6-9ff2907f2e56
4,1-0,1,1,1,binary_tree,in_order,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_87d14e84-f77d-49d5-b8f6-9ff2907f2e56.png," [20, 5, 46]","[20, 5, 46]","[20, 5, 46]",True,100.0,sans-serif,#fee4b3,o,1.0,-|>,3,512,4c2e7c85-b6f5-4174-b3a0-592c3b4b1979,87d14e84-f77d-49d5-b8f6-9ff2907f2e56
5,1-0,1,1,2,binary_tree,in_order,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_87d14e84-f77d-49d5-b8f6-9ff2907f2e56.png," [20, 5, 46]","[20, 5, 46]","[20, 5, 46]",True,100.0,sans-serif,#fee4b3,o,1.0,-|>,3,512,4c2e7c85-b6f5-4174-b3a0-592c3b4b1979,87d14e84-f77d-49d5-b8f6-9ff2907f2e56
6,1-0,1,1,3,binary_tree,in_order,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_87d14e84-f77d-49d5-b8f6-9ff2907f2e56.png," [5, 20, 46]","[5, 20, 46]","[20, 5, 46]",False,33.33333333333333,sans-serif,#fee4b3,o,1.0,-|>,3,512,4c2e7c85-b6f5-4174-b3a0-592c3b4b1979,87d14e84-f77d-49d5-b8f6-9ff2907f2e56
7,1-0,1,1,1,binary_tree,post_order,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_87d14e84-f77d-49d5-b8f6-9ff2907f2e56.png," [5, 20, 46]","[5, 20, 46]","[5, 20, 46]",True,100.0,sans-serif,#fee4b3,o,1.0,-|>,3,512,bd515514-754d-4387-b068-8dc1d4afa0cc,87d14e84-f77d-49d5-b8f6-9ff2907f2e56
8,1-0,1,1,2,binary_tree,post_order,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_87d14e84-f77d-49d5-b8f6-9ff2907f2e56.png," [5, 20, 46]","[5, 20, 46]","[5, 20, 46]",True,100.0,sans-serif,#fee4b3,o,1.0,-|>,3,512,bd515514-754d-4387-b068-8dc1d4afa0cc,87d14e84-f77d-49d5-b8f6-9ff2907f2e56
9,1-0,1,1,3,binary_tree,post_order,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_87d14e84-f77d-49d5-b8f6-9ff2907f2e56.png," [5, 20, 46]","[5, 20, 46]","[5, 20, 46]",True,100.0,sans-serif,#fee4b3,o,1.0,-|>,3,512,bd515514-754d-4387-b068-8dc1d4afa0cc,87d14e84-f77d-49d5-b8f6-9ff2907f2e56
10,1-0,2,1,1,binary_tree,pre_order,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit-gen_1_0-var_2-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_497198d2-eb89-4916-b164-0ec3bb4c7c79.png," [16, 5, 58]","[16, 5, 58]","[58, 16, 5]",False,33.33333333333333,sans-serif,#fee4b3,o,1.0,-|>,3,512,20d841b2-645e-424c-b788-23bfa8fc5d72,497198d2-eb89-4916-b164-0ec3bb4c7c79
