run,n_generation,n_variation,n_format,structure,task_type,text_prompt,image_prompt,model_response,extracted_response,expected_response,match,similarity,node_font,node_color,edge_width,task_id,attempt,num_nodes,resolution
1,1,1,1,binary_tree,pre_order,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-f9b2855b-2e87-4e79-9b54-8df70cc90e34.png," `[5, 25, 58]`","[5, 25, 58]","[5, 25, 58]",True,100.0,sans-serif,#fee4b3,1.0,None,1,3,512
1,1,1,1,binary_tree,in_order,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-f9b2855b-2e87-4e79-9b54-8df70cc90e34.png," `[25, 5, 58]`","[25, 5, 58]","[25, 5, 58]",True,100.0,sans-serif,#fee4b3,1.0,None,1,3,512
1,1,1,1,binary_tree,post_order,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-f9b2855b-2e87-4e79-9b54-8df70cc90e34.png," `[25, 58, 5]`","[25, 58, 5]","[25, 58, 5]",True,100.0,sans-serif,#fee4b3,1.0,None,1,3,512
1,1,1,1,binary_search_tree,pre_order,'Provide a single-line python list representing the post-order traversal of the binary search tree.',images/binary_search_tree/bst_run-1_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-937f7a45-08ae-40e2-bd3f-e5a353dc6592.png," [48, 69, 86]","[48, 69, 86]","[48, 69, 86]",True,100.0,sans-serif,#fee4b3,1.0,None,1,3,512
1,1,1,1,binary_search_tree,in_order,'Provide a single-line python list representing the post-order traversal of the binary search tree.',images/binary_search_tree/bst_run-1_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-937f7a45-08ae-40e2-bd3f-e5a353dc6592.png," [48, 69, 86]","[48, 69, 86]","[48, 69, 86]",True,100.0,sans-serif,#fee4b3,1.0,None,1,3,512
1,1,1,1,binary_search_tree,post_order,'Provide a single-line python list representing the post-order traversal of the binary search tree.',images/binary_search_tree/bst_run-1_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-937f7a45-08ae-40e2-bd3f-e5a353dc6592.png," [48, 69, 86]","[48, 69, 86]","[86, 69, 48]",False,33.33333333333333,sans-serif,#fee4b3,1.0,None,1,3,512
1,1,1,1,undirected_graph,breadth_first_search,'Provide a single-line python dictionary representing the adjacency list of the undirected graph.',images/undirected_graph/ug_run-1_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-a36fb569-a6b5-429c-ac97-0a402c7b74fe.png," [1, 2, 3]","[1, 2, 3]","[1, 2, 3]",True,100.0,sans-serif,#fee4b3,1.0,None,1,3,512
1,1,1,1,undirected_graph,depth_first_search,'Provide a single-line python dictionary representing the adjacency list of the undirected graph.',images/undirected_graph/ug_run-1_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-a36fb569-a6b5-429c-ac97-0a402c7b74fe.png," `[1, 2, 3]`","[1, 2, 3]","[1, 2, 3]",True,100.0,sans-serif,#fee4b3,1.0,None,1,3,512
1,1,1,1,undirected_graph,adjacency_list,'Provide a single-line python dictionary representing the adjacency list of the undirected graph.',images/undirected_graph/ug_run-1_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-a36fb569-a6b5-429c-ac97-0a402c7b74fe.png," ```python\ngraph = {1: [2, 3], 2: [1, 3], 3: [1, 2]}\n```","{1: [2, 3], 2: [1, 3], 3: [1, 2]}","{1: [2, 3], 2: [1, 3], 3: [2, 1]}",True,100.0,sans-serif,#fee4b3,1.0,None,1,3,512
1,1,1,1,directed_graph,breadth_first_search,'Provide a single-line python dictionary representing the adjacency list of the directed graph.',images/directed_graph/dg_run-1_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-ec22a713-44f8-4022-82d1-541ef492bc2a.png," ```python\n[3, 2, 1]\n```","[3, 2, 1]","[1, 2, 3]",False,33.33333333333333,sans-serif,#fee4b3,1.0,None,1,3,512
1,1,1,1,directed_graph,depth_first_search,'Provide a single-line python dictionary representing the adjacency list of the directed graph.',images/directed_graph/dg_run-1_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-ec22a713-44f8-4022-82d1-541ef492bc2a.png," [3, 2, 1]","[3, 2, 1]","[1, 2, 3]",False,33.33333333333333,sans-serif,#fee4b3,1.0,None,1,3,512
1,1,1,1,directed_graph,adjacency_list,'Provide a single-line python dictionary representing the adjacency list of the directed graph.',images/directed_graph/dg_run-1_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-ec22a713-44f8-4022-82d1-541ef492bc2a.png," ```python\n{1: [2], 2: [3], 3: []}\n```","{1: [2], 2: [3], 3: []}","{1: [2], 2: [3], 3: [2]}",False,66.66666666666666,sans-serif,#fee4b3,1.0,None,1,3,512
