run,n_generation,n_variation,n_format,structure,text_task,text_prompt,image_prompt,model_response,extracted_response,expected_response,match,similarity,node_font,node_color,edge_width,task_id,attempt,num_nodes,resolution
1,1,1,1,undirected_graph,Provide a single-line python dictionary representing the adjacency list of the undirected graph.,'Provide a single-line python list representing the depth-first search of the undirected graph starting from the vertex with the smallest value.',images/undirected_graph/ug_run-7_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-6a4f6150-138a-4bc9-9486-f9641c4ceced.png," ```python\ngraph = {1: [2, 3], 2: [1, 3], 3: [1, 2]}\n```","{1: [2, 3], 2: [1, 3], 3: [1, 2]}","{1: [2, 3], 2: [1, 3], 3: [2, 1]}",False,93.93939393939394,sans-serif,#fee4b3,1.0,None,3,3,512
1,1,1,1,undirected_graph,Provide a single-line python dictionary representing the adjacency list of the undirected graph.,'Provide a single-line python list representing the depth-first search of the undirected graph starting from the vertex with the smallest value.',images/undirected_graph/ug_run-7_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-6a4f6150-138a-4bc9-9486-f9641c4ceced.png," ```python\ngraph = {1: [2, 3], 2: [1, 3], 3: [1, 2]}\n```","{1: [2, 3], 2: [1, 3], 3: [1, 2]}","{1: [2, 3], 2: [1, 3], 3: [2, 1]}",False,93.93939393939394,sans-serif,#fee4b3,1.0,None,3,3,512
1,1,1,1,undirected_graph,Provide a single-line python dictionary representing the adjacency list of the undirected graph.,'Provide a single-line python list representing the depth-first search of the undirected graph starting from the vertex with the smallest value.',images/undirected_graph/ug_run-7_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-6a4f6150-138a-4bc9-9486-f9641c4ceced.png," ```python\ngraph = {1: [2, 3], 2: [1, 3], 3: [1, 2]}\n```","{1: [2, 3], 2: [1, 3], 3: [1, 2]}","{1: [2, 3], 2: [1, 3], 3: [2, 1]}",False,93.93939393939394,sans-serif,#fee4b3,1.0,None,3,3,512
1,1,1,1,undirected_graph,Provide a single-line python list representing the depth-first search of the undirected graph starting from the vertex with the smallest value.,'Provide a single-line python list representing the depth-first search of the undirected graph starting from the vertex with the smallest value.',images/undirected_graph/ug_run-7_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-6a4f6150-138a-4bc9-9486-f9641c4ceced.png," `[1, 2, 3]`","[1, 2, 3]","[1, 2, 3]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,512
1,1,1,1,undirected_graph,Provide a single-line python list representing the depth-first search of the undirected graph starting from the vertex with the smallest value.,'Provide a single-line python list representing the depth-first search of the undirected graph starting from the vertex with the smallest value.',images/undirected_graph/ug_run-7_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-6a4f6150-138a-4bc9-9486-f9641c4ceced.png," `[1, 2, 3]`","[1, 2, 3]","[1, 2, 3]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,512
1,1,1,1,undirected_graph,Provide a single-line python list representing the depth-first search of the undirected graph starting from the vertex with the smallest value.,'Provide a single-line python list representing the depth-first search of the undirected graph starting from the vertex with the smallest value.',images/undirected_graph/ug_run-7_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-6a4f6150-138a-4bc9-9486-f9641c4ceced.png," `[1, 2, 3]`","[1, 2, 3]","[1, 2, 3]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,512
1,1,1,1,undirected_graph,Provide a single-line python list representing the breadth-first search of the undirected graph starting from the vertex with the smallest value.,'Provide a single-line python list representing the depth-first search of the undirected graph starting from the vertex with the smallest value.',images/undirected_graph/ug_run-7_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-6a4f6150-138a-4bc9-9486-f9641c4ceced.png," ```python\n[1, 2, 3]\n```","[1, 2, 3]","[1, 2, 3]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,512
1,1,1,1,undirected_graph,Provide a single-line python list representing the breadth-first search of the undirected graph starting from the vertex with the smallest value.,'Provide a single-line python list representing the depth-first search of the undirected graph starting from the vertex with the smallest value.',images/undirected_graph/ug_run-7_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-6a4f6150-138a-4bc9-9486-f9641c4ceced.png," [1, 3, 2]","[1, 3, 2]","[1, 2, 3]",False,77.77777777777779,sans-serif,#fee4b3,1.0,None,3,3,512
1,1,1,1,undirected_graph,Provide a single-line python list representing the breadth-first search of the undirected graph starting from the vertex with the smallest value.,'Provide a single-line python list representing the depth-first search of the undirected graph starting from the vertex with the smallest value.',images/undirected_graph/ug_run-7_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-6a4f6150-138a-4bc9-9486-f9641c4ceced.png," [1, 2, 3]","[1, 2, 3]","[1, 2, 3]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,512
2,1,2,1,undirected_graph,Provide a single-line python dictionary representing the adjacency list of the undirected graph.,'Provide a single-line python list representing the depth-first search of the undirected graph starting from the vertex with the smallest value.',images/undirected_graph/ug_run-7_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-6a4f6150-138a-4bc9-9486-f9641c4ceced.png," ```python\ngraph = {1: [2, 3], 2: [1, 3], 3: [1, 2]}\n```","{1: [2, 3], 2: [1, 3], 3: [1, 2]}","{1: [2, 3], 2: [1, 3], 3: [2, 1]}",False,93.93939393939394,sans-serif,#fee4b3,1.0,None,3,3,512
