n_generation,n_variation,n_format,structure,text_task,text_prompt,image_prompt,model_response,extracted_response,expected_response,match,node_font,node_color,edge_width,task_id,attempt,num_nodes
1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-3de71041-7102-4aba-b021-aca1da56bd02.png," [60, 49, 55]","'60, 49, 55'","[60, 49, 55]",True,sans-serif,#fee4b3,1.0,5beb99d1-3733-4dd3-89e3-9d29feb0d779,1,3
1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-3de71041-7102-4aba-b021-aca1da56bd02.png," [60, 49, 55]","'60, 49, 55'","[60, 49, 55]",True,sans-serif,#fee4b3,1.0,5beb99d1-3733-4dd3-89e3-9d29feb0d779,2,3
1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-3de71041-7102-4aba-b021-aca1da56bd02.png," [60, 49, 55]","'60, 49, 55'","[60, 49, 55]",True,sans-serif,#fee4b3,1.0,5beb99d1-3733-4dd3-89e3-9d29feb0d779,3,3
1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-3de71041-7102-4aba-b021-aca1da56bd02.png," [55, 60, 49]","'55, 60, 49'","[55, 60, 49]",True,sans-serif,#fee4b3,1.0,738d8e18-4f06-4f79-bfe4-cf1511967fb4,1,3
1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-3de71041-7102-4aba-b021-aca1da56bd02.png," [55, 60, 49]","'55, 60, 49'","[55, 60, 49]",True,sans-serif,#fee4b3,1.0,738d8e18-4f06-4f79-bfe4-cf1511967fb4,2,3
1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-3de71041-7102-4aba-b021-aca1da56bd02.png," [55, 60, 49]","'55, 60, 49'","[55, 60, 49]",True,sans-serif,#fee4b3,1.0,738d8e18-4f06-4f79-bfe4-cf1511967fb4,3,3
1,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-3de71041-7102-4aba-b021-aca1da56bd02.png," [60, 55, 49]","'60, 55, 49'","[60, 55, 49]",True,sans-serif,#fee4b3,1.0,25ea3bda-2d9f-4312-8096-fb59f4adb620,1,3
1,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-3de71041-7102-4aba-b021-aca1da56bd02.png," [60, 55, 49]","'60, 55, 49'","[60, 55, 49]",True,sans-serif,#fee4b3,1.0,25ea3bda-2d9f-4312-8096-fb59f4adb620,2,3
1,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-3de71041-7102-4aba-b021-aca1da56bd02.png," [60, 55, 49]","'60, 55, 49'","[60, 55, 49]",True,sans-serif,#fee4b3,1.0,25ea3bda-2d9f-4312-8096-fb59f4adb620,3,3
1,2,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit_run-2_gen-1_var-2_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-16a38b16-b9b1-4e99-a1d1-fb20bd60ce5e.png," [42, 35, 42]","'42, 35, 42'","[42, 35, 42]",True,sans-serif,#fee4b3,1.0,981b6fc2-4fa8-4417-b48b-fed0bfbcc6c8,1,3
1,2,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit_run-2_gen-1_var-2_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-16a38b16-b9b1-4e99-a1d1-fb20bd60ce5e.png," [42, 35, 42]","'42, 35, 42'","[42, 35, 42]",True,sans-serif,#fee4b3,1.0,981b6fc2-4fa8-4417-b48b-fed0bfbcc6c8,2,3
1,2,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit_run-2_gen-1_var-2_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-16a38b16-b9b1-4e99-a1d1-fb20bd60ce5e.png," [42, 35, 42]","'42, 35, 42'","[42, 35, 42]",True,sans-serif,#fee4b3,1.0,981b6fc2-4fa8-4417-b48b-fed0bfbcc6c8,3,3
1,2,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-2_gen-1_var-2_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-16a38b16-b9b1-4e99-a1d1-fb20bd60ce5e.png," [42, 42, 35]","'42, 42, 35'","[42, 42, 35]",True,sans-serif,#fee4b3,1.0,956e5321-eef4-4fb6-8ea2-39a9e9880f0d,1,3
1,2,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-2_gen-1_var-2_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-16a38b16-b9b1-4e99-a1d1-fb20bd60ce5e.png," [42, 42, 35]","'42, 42, 35'","[42, 42, 35]",True,sans-serif,#fee4b3,1.0,956e5321-eef4-4fb6-8ea2-39a9e9880f0d,2,3
1,2,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-2_gen-1_var-2_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-16a38b16-b9b1-4e99-a1d1-fb20bd60ce5e.png," `[42, 42, 35]`","'42, 42, 35'","[42, 42, 35]",True,sans-serif,#fee4b3,1.0,956e5321-eef4-4fb6-8ea2-39a9e9880f0d,3,3
1,2,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-2_gen-1_var-2_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-16a38b16-b9b1-4e99-a1d1-fb20bd60ce5e.png," [42, 42, 35]","'42, 42, 35'","[42, 42, 35]",True,sans-serif,#fee4b3,1.0,e0a39873-20d0-45ab-8e72-f469a453a8c4,1,3
1,2,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-2_gen-1_var-2_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-16a38b16-b9b1-4e99-a1d1-fb20bd60ce5e.png," [42, 42, 35]","'42, 42, 35'","[42, 42, 35]",True,sans-serif,#fee4b3,1.0,e0a39873-20d0-45ab-8e72-f469a453a8c4,2,3
1,2,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-2_gen-1_var-2_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-16a38b16-b9b1-4e99-a1d1-fb20bd60ce5e.png," [42, 42, 35]","'42, 42, 35'","[42, 42, 35]",True,sans-serif,#fee4b3,1.0,e0a39873-20d0-45ab-8e72-f469a453a8c4,3,3
1,3,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit_run-3_gen-1_var-3_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-d41894d4-379d-438c-aea7-e4433b8ae322.png," [55, 10, 33]","'55, 10, 33'","[55, 10, 33]",True,sans-serif,#fee4b3,1.0,105bf1bd-015e-406b-b1b1-5e05eee78d7e,1,3
1,3,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit_run-3_gen-1_var-3_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-d41894d4-379d-438c-aea7-e4433b8ae322.png," [55, 10, 33]","'55, 10, 33'","[55, 10, 33]",True,sans-serif,#fee4b3,1.0,105bf1bd-015e-406b-b1b1-5e05eee78d7e,2,3
1,3,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit_run-3_gen-1_var-3_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-d41894d4-379d-438c-aea7-e4433b8ae322.png," [55, 10, 33]","'55, 10, 33'","[55, 10, 33]",True,sans-serif,#fee4b3,1.0,105bf1bd-015e-406b-b1b1-5e05eee78d7e,3,3
1,3,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-3_gen-1_var-3_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-d41894d4-379d-438c-aea7-e4433b8ae322.png," [33, 55, 10]","'33, 55, 10'","[33, 55, 10]",True,sans-serif,#fee4b3,1.0,b48dd121-58df-4bc3-9a29-1b850862791f,1,3
1,3,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-3_gen-1_var-3_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-d41894d4-379d-438c-aea7-e4433b8ae322.png," [33, 55, 10]","'33, 55, 10'","[33, 55, 10]",True,sans-serif,#fee4b3,1.0,b48dd121-58df-4bc3-9a29-1b850862791f,2,3
1,3,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-3_gen-1_var-3_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-d41894d4-379d-438c-aea7-e4433b8ae322.png," [33, 55, 10]","'33, 55, 10'","[33, 55, 10]",True,sans-serif,#fee4b3,1.0,b48dd121-58df-4bc3-9a29-1b850862791f,3,3
1,3,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-3_gen-1_var-3_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-d41894d4-379d-438c-aea7-e4433b8ae322.png," [55, 33, 10]","'55, 33, 10'","[55, 33, 10]",True,sans-serif,#fee4b3,1.0,93e8c483-a4b7-4cc1-af1f-9b1ff0e2c5ba,1,3
1,3,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-3_gen-1_var-3_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-d41894d4-379d-438c-aea7-e4433b8ae322.png," [55, 33, 10]","'55, 33, 10'","[55, 33, 10]",True,sans-serif,#fee4b3,1.0,93e8c483-a4b7-4cc1-af1f-9b1ff0e2c5ba,2,3
1,3,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-3_gen-1_var-3_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-d41894d4-379d-438c-aea7-e4433b8ae322.png," [55, 33, 10]","'55, 33, 10'","[55, 33, 10]",True,sans-serif,#fee4b3,1.0,93e8c483-a4b7-4cc1-af1f-9b1ff0e2c5ba,3,3
2,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit_run-4_gen-2_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-810f337b-1a1a-4ca9-a37b-0ca8bb740764.png," [44, 51, 17, 45, 63, 20]","'44, 51, 17, 45, 63, 20'","[44, 51, 17, 45, 63, 20]",True,sans-serif,#fee4b3,1.0,4199c8d9-46e2-4e3c-aa47-7b394a3303d3,1,6
2,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit_run-4_gen-2_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-810f337b-1a1a-4ca9-a37b-0ca8bb740764.png," [44, 51, 17, 45, 63, 20]","'44, 51, 17, 45, 63, 20'","[44, 51, 17, 45, 63, 20]",True,sans-serif,#fee4b3,1.0,4199c8d9-46e2-4e3c-aa47-7b394a3303d3,2,6
