run_id,generation_id,variation_id,format_id,attempt_id,structure,task,text_prompt,image_prompt,response,predicted,ground_truth,match,similarity,node_font,node_color,node_shape,edge_width,arrow_style,num_nodes,num_edges,dgl_graph,resolution,task_id,image_id
1,1-0,1,1,1,undirected_graph,breadth_first_search,'Provide a list[int] of vertices representing the breadth-first search traversal for the image of the undirected graph starting from vertex 1.',images/undirected_graph/ug-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_8d65b360-fcb3-4c32-a0a1-15a12c59a998.png,"[1, 2, 3]","[1, 2, 3]","[1, 3, 2]",False,33.33333333333333,sans-serif,#ffffff,o,1.0,-|>,3,3,"{1: [3, 2], 2: [3, 1], 3: [1, 2]}",512,75779bfe-cb75-4f87-af69-3bee83fdfe00,8d65b360-fcb3-4c32-a0a1-15a12c59a998
2,1-0,1,1,2,undirected_graph,breadth_first_search,'Provide a list[int] of vertices representing the breadth-first search traversal for the image of the undirected graph starting from vertex 1.',images/undirected_graph/ug-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_8d65b360-fcb3-4c32-a0a1-15a12c59a998.png,"[1, 2, 3]","[1, 2, 3]","[1, 3, 2]",False,33.33333333333333,sans-serif,#ffffff,o,1.0,-|>,3,3,"{1: [3, 2], 2: [3, 1], 3: [1, 2]}",512,75779bfe-cb75-4f87-af69-3bee83fdfe00,8d65b360-fcb3-4c32-a0a1-15a12c59a998
3,1-0,1,1,3,undirected_graph,breadth_first_search,'Provide a list[int] of vertices representing the breadth-first search traversal for the image of the undirected graph starting from vertex 1.',images/undirected_graph/ug-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_8d65b360-fcb3-4c32-a0a1-15a12c59a998.png,"[1, 2, 3]","[1, 2, 3]","[1, 3, 2]",False,33.33333333333333,sans-serif,#ffffff,o,1.0,-|>,3,3,"{1: [3, 2], 2: [3, 1], 3: [1, 2]}",512,75779bfe-cb75-4f87-af69-3bee83fdfe00,8d65b360-fcb3-4c32-a0a1-15a12c59a998
4,1-0,1,1,1,undirected_graph,depth_first_search,'Provide a list[int] of vertices representing the depth-first search traversal for the image of the undirected graph starting from vertex 1.',images/undirected_graph/ug-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_8d65b360-fcb3-4c32-a0a1-15a12c59a998.png,"[1, 2, 3]","[1, 2, 3]","[1, 3, 2]",False,33.33333333333333,sans-serif,#ffffff,o,1.0,-|>,3,3,"{1: [3, 2], 2: [3, 1], 3: [1, 2]}",512,b443493a-d08b-4c62-9db0-dd494279d988,8d65b360-fcb3-4c32-a0a1-15a12c59a998
5,1-0,1,1,2,undirected_graph,depth_first_search,'Provide a list[int] of vertices representing the depth-first search traversal for the image of the undirected graph starting from vertex 1.',images/undirected_graph/ug-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_8d65b360-fcb3-4c32-a0a1-15a12c59a998.png,"[1, 2, 3]","[1, 2, 3]","[1, 3, 2]",False,33.33333333333333,sans-serif,#ffffff,o,1.0,-|>,3,3,"{1: [3, 2], 2: [3, 1], 3: [1, 2]}",512,b443493a-d08b-4c62-9db0-dd494279d988,8d65b360-fcb3-4c32-a0a1-15a12c59a998
6,1-0,1,1,3,undirected_graph,depth_first_search,'Provide a list[int] of vertices representing the depth-first search traversal for the image of the undirected graph starting from vertex 1.',images/undirected_graph/ug-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_8d65b360-fcb3-4c32-a0a1-15a12c59a998.png,"[1, 2, 3]","[1, 2, 3]","[1, 3, 2]",False,33.33333333333333,sans-serif,#ffffff,o,1.0,-|>,3,3,"{1: [3, 2], 2: [3, 1], 3: [1, 2]}",512,b443493a-d08b-4c62-9db0-dd494279d988,8d65b360-fcb3-4c32-a0a1-15a12c59a998
7,1-0,1,1,1,undirected_graph,adjacency_list,"'Provide a dict[int, list[int]] of vertices and their edges representing the adjacency list for the image of the undirected graph.'",images/undirected_graph/ug-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_8d65b360-fcb3-4c32-a0a1-15a12c59a998.png,"{1: [2, 3], 2: [1, 3], 3: [1, 2]}","{1: [2, 3], 2: [1, 3], 3: [1, 2]}","{1: [3, 2], 3: [1, 2], 2: [3, 1]}",True,100.0,sans-serif,#ffffff,o,1.0,-|>,3,3,"{1: [3, 2], 2: [3, 1], 3: [1, 2]}",512,84418e7d-8c1e-4362-9110-1b89a5701d22,8d65b360-fcb3-4c32-a0a1-15a12c59a998
8,1-0,1,1,2,undirected_graph,adjacency_list,"'Provide a dict[int, list[int]] of vertices and their edges representing the adjacency list for the image of the undirected graph.'",images/undirected_graph/ug-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_8d65b360-fcb3-4c32-a0a1-15a12c59a998.png,"```python{1: [2, 3], 2: [1, 3], 3: [1, 2]}```","{1: [2, 3], 2: [1, 3], 3: [1, 2]}","{1: [3, 2], 3: [1, 2], 2: [3, 1]}",True,100.0,sans-serif,#ffffff,o,1.0,-|>,3,3,"{1: [3, 2], 2: [3, 1], 3: [1, 2]}",512,84418e7d-8c1e-4362-9110-1b89a5701d22,8d65b360-fcb3-4c32-a0a1-15a12c59a998
9,1-0,1,1,3,undirected_graph,adjacency_list,"'Provide a dict[int, list[int]] of vertices and their edges representing the adjacency list for the image of the undirected graph.'",images/undirected_graph/ug-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_8d65b360-fcb3-4c32-a0a1-15a12c59a998.png,"{1: [2, 3], 2: [1, 3], 3: [1, 2]}","{1: [2, 3], 2: [1, 3], 3: [1, 2]}","{1: [3, 2], 3: [1, 2], 2: [3, 1]}",True,100.0,sans-serif,#ffffff,o,1.0,-|>,3,3,"{1: [3, 2], 2: [3, 1], 3: [1, 2]}",512,84418e7d-8c1e-4362-9110-1b89a5701d22,8d65b360-fcb3-4c32-a0a1-15a12c59a998
10,1-0,1,2,1,undirected_graph,breadth_first_search,'Provide a list[int] of vertices representing the breadth-first search traversal for the image of the undirected graph starting from vertex 1.',images/undirected_graph/ug-gen_1_0-var_1-fmt_2-wid_10-col_ffff00-fnt_sansserif-shp_o-arw_0-res_512-idn_35d99c38-1bfd-4bf1-9640-bf78a72e576d.png,"[1, 2, 3]","[1, 2, 3]","[1, 3, 2]",False,33.33333333333333,sans-serif,#ffff00,o,1.0,-|>,3,3,"{1: [3, 2], 2: [3, 1], 3: [1, 2]}",512,55c76930-a2a1-47ac-8e78-c5fbbe298751,35d99c38-1bfd-4bf1-9640-bf78a72e576d
