run,generation_id,variation_id,format_id,attempt_id,structure,task,text_prompt,image_prompt,response,predicted,ground_truth,match,similarity,node_font,node_color,edge_width,num_nodes,resolution,task_id,image_id
1,1,1,1,1,binary_tree,pre_order,"""Provide a single-line python list representing the pre-order traversal of the binary tree.\n                             \n    Let's think step by step.""",images/binary_tree/bit_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-ea20e42d-cd35-4440-8702-7812754d07c2.png," [40, 17, 87]","[40, 17, 87]","[40, 17, 87]",True,100.0,sans-serif,#fee4b3,1.0,3,512,91ea7070-95ae-45ee-af3d-cbdcbeb0d06d,ea20e42d-cd35-4440-8702-7812754d07c2
2,1,1,1,2,binary_tree,pre_order,"""Provide a single-line python list representing the pre-order traversal of the binary tree.\n                             \n    Let's think step by step.""",images/binary_tree/bit_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-ea20e42d-cd35-4440-8702-7812754d07c2.png," [40, 17, 87]","[40, 17, 87]","[40, 17, 87]",True,100.0,sans-serif,#fee4b3,1.0,3,512,91ea7070-95ae-45ee-af3d-cbdcbeb0d06d,ea20e42d-cd35-4440-8702-7812754d07c2
3,1,1,1,3,binary_tree,pre_order,"""Provide a single-line python list representing the pre-order traversal of the binary tree.\n                             \n    Let's think step by step.""",images/binary_tree/bit_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-ea20e42d-cd35-4440-8702-7812754d07c2.png," [40, 17, 87]","[40, 17, 87]","[40, 17, 87]",True,100.0,sans-serif,#fee4b3,1.0,3,512,91ea7070-95ae-45ee-af3d-cbdcbeb0d06d,ea20e42d-cd35-4440-8702-7812754d07c2
4,1,1,1,1,binary_tree,in_order,"""Provide a single-line python list representing the in-order traversal of the binary tree.\n                             \n    Let's think step by step.""",images/binary_tree/bit_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-ea20e42d-cd35-4440-8702-7812754d07c2.png," [17, 40, 87]","[17, 40, 87]","[17, 40, 87]",True,100.0,sans-serif,#fee4b3,1.0,3,512,da1870f0-0d58-459b-ad0c-7a47fcf980c9,ea20e42d-cd35-4440-8702-7812754d07c2
5,1,1,1,2,binary_tree,in_order,"""Provide a single-line python list representing the in-order traversal of the binary tree.\n                             \n    Let's think step by step.""",images/binary_tree/bit_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-ea20e42d-cd35-4440-8702-7812754d07c2.png," [17, 40, 87]","[17, 40, 87]","[17, 40, 87]",True,100.0,sans-serif,#fee4b3,1.0,3,512,da1870f0-0d58-459b-ad0c-7a47fcf980c9,ea20e42d-cd35-4440-8702-7812754d07c2
6,1,1,1,3,binary_tree,in_order,"""Provide a single-line python list representing the in-order traversal of the binary tree.\n                             \n    Let's think step by step.""",images/binary_tree/bit_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-ea20e42d-cd35-4440-8702-7812754d07c2.png," [17, 40, 87]","[17, 40, 87]","[17, 40, 87]",True,100.0,sans-serif,#fee4b3,1.0,3,512,da1870f0-0d58-459b-ad0c-7a47fcf980c9,ea20e42d-cd35-4440-8702-7812754d07c2
7,1,1,1,1,binary_tree,post_order,"""Provide a single-line python list representing the post-order traversal of the binary tree.\n                             \n    Let's think step by step.""",images/binary_tree/bit_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-ea20e42d-cd35-4440-8702-7812754d07c2.png," [17, 87, 40]","[17, 87, 40]","[17, 87, 40]",True,100.0,sans-serif,#fee4b3,1.0,3,512,d4d336cf-6eb8-4fcb-aae4-fc4cfc040295,ea20e42d-cd35-4440-8702-7812754d07c2
8,1,1,1,2,binary_tree,post_order,"""Provide a single-line python list representing the post-order traversal of the binary tree.\n                             \n    Let's think step by step.""",images/binary_tree/bit_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-ea20e42d-cd35-4440-8702-7812754d07c2.png," [17, 87, 40]","[17, 87, 40]","[17, 87, 40]",True,100.0,sans-serif,#fee4b3,1.0,3,512,d4d336cf-6eb8-4fcb-aae4-fc4cfc040295,ea20e42d-cd35-4440-8702-7812754d07c2
9,1,1,1,3,binary_tree,post_order,"""Provide a single-line python list representing the post-order traversal of the binary tree.\n                             \n    Let's think step by step.""",images/binary_tree/bit_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-ea20e42d-cd35-4440-8702-7812754d07c2.png," [17, 87, 40]","[17, 87, 40]","[17, 87, 40]",True,100.0,sans-serif,#fee4b3,1.0,3,512,d4d336cf-6eb8-4fcb-aae4-fc4cfc040295,ea20e42d-cd35-4440-8702-7812754d07c2
10,1,2,1,1,binary_tree,pre_order,"""Provide a single-line python list representing the pre-order traversal of the binary tree.\n                             \n    Let's think step by step.""",images/binary_tree/bit_gen-1_var-2_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-cf15ddb2-0649-4984-ab27-788f42cb851a.png," ```python[22, 77, 64]```","[22, 77, 64]","[22, 77, 64]",True,100.0,sans-serif,#fee4b3,1.0,3,512,7e4f53bd-e392-4afa-8ed5-57ee33c9659e,cf15ddb2-0649-4984-ab27-788f42cb851a
