run,n_generation,n_variation,n_format,structure,text_task,text_prompt,image_prompt,model_response,extracted_response,expected_response,match,node_font,node_color,edge_width,task_id,attempt,num_nodes,resolution
1,1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-12_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-2048_idn-f3649483-3e5c-4d8d-b89d-7a94c93567d6.png," `[51, 38, 2]`","'51, 38, 2'","[51, 38, 2]",True,sans-serif,#fee4b3,1.0,4a362ca7-9b9f-4e34-97d4-30499111eefa,1,3,256
1,1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-12_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-2048_idn-f3649483-3e5c-4d8d-b89d-7a94c93567d6.png," [2, 51, 38]","'2, 51, 38'","[2, 51, 38]",True,sans-serif,#fee4b3,1.0,a2287a8d-0450-46b7-b9b8-f61fed6f1a60,1,3,256
1,1,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-12_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-2048_idn-f3649483-3e5c-4d8d-b89d-7a94c93567d6.png," `[51, 2, 38]`","'51, 2, 38'","[51, 2, 38]",True,sans-serif,#fee4b3,1.0,67a34e64-2a23-452c-9dfd-7d03d42d8c45,1,3,256
2,1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-12_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-2048_idn-f3649483-3e5c-4d8d-b89d-7a94c93567d6.png," [51, 38, 2]","'51, 38, 2'","[51, 38, 2]",True,sans-serif,#fee4b3,1.0,e45bbdd4-8e43-4420-9a53-34bd23a17181,1,3,512
2,1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-12_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-2048_idn-f3649483-3e5c-4d8d-b89d-7a94c93567d6.png," `[2, 51, 38]`","'2, 51, 38'","[2, 51, 38]",True,sans-serif,#fee4b3,1.0,0fbf263b-d748-44da-8547-fec08cfdd51a,1,3,512
2,1,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-12_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-2048_idn-f3649483-3e5c-4d8d-b89d-7a94c93567d6.png," [51, 2, 38]","'51, 2, 38'","[51, 2, 38]",True,sans-serif,#fee4b3,1.0,423674d4-6619-4a27-9b3e-228ca5ad1853,1,3,512
3,1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-12_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-2048_idn-f3649483-3e5c-4d8d-b89d-7a94c93567d6.png," `[51, 38, 2]`","'51, 38, 2'","[51, 38, 2]",True,sans-serif,#fee4b3,1.0,99484ed4-a778-4034-9913-ed1f58ac54b3,1,3,1024
3,1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-12_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-2048_idn-f3649483-3e5c-4d8d-b89d-7a94c93567d6.png," `[2, 51, 38]`","'2, 51, 38'","[2, 51, 38]",True,sans-serif,#fee4b3,1.0,d2c84d0e-f465-4f49-9c02-081860cf8b18,1,3,1024
3,1,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-12_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-2048_idn-f3649483-3e5c-4d8d-b89d-7a94c93567d6.png," `[51, 2, 38]`","'51, 2, 38'","[51, 2, 38]",True,sans-serif,#fee4b3,1.0,2d821086-ddc4-406b-9cf5-6142c03fa48d,1,3,1024
4,1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-12_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-2048_idn-f3649483-3e5c-4d8d-b89d-7a94c93567d6.png," `[51, 38, 2]`","'51, 38, 2'","[51, 38, 2]",True,sans-serif,#fee4b3,1.0,b63e6aa0-51ae-4bc2-95c6-5715e2b2e4e6,1,3,2048
4,1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-12_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-2048_idn-f3649483-3e5c-4d8d-b89d-7a94c93567d6.png," [2, 51, 38]","'2, 51, 38'","[2, 51, 38]",True,sans-serif,#fee4b3,1.0,14bd5cf0-eb06-424c-bf7b-5d06b4c31db5,1,3,2048
4,1,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-12_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-2048_idn-f3649483-3e5c-4d8d-b89d-7a94c93567d6.png," `[51, 2, 38]`","'51, 2, 38'","[51, 2, 38]",True,sans-serif,#fee4b3,1.0,d9dc3197-895e-41b1-b284-2383b601dfdf,1,3,2048
