n_generation,n_variation,n_format,structure,text_task,text_prompt,image_prompt,model_response,expected_response,match,node_font,node_color,edge_width,task_id,attempt,num_nodes
1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,,images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-4ff45c45-3090-435e-bc13-6cb49bc254d1.png," [4, 77, 63, 59, 18, 5, 6, 45, 33]","[77, 4, 63, 59, 18, 6, 5, 45, 33]",False,sans-serif,#fee4b3,1.0,4ff45c45-3090-435e-bc13-6cb49bc254d1,1,9
1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,,images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-4ff45c45-3090-435e-bc13-6cb49bc254d1.png," [4, 77, 63, 59, 18, 6, 5, 45, 33]","[77, 4, 63, 59, 18, 6, 5, 45, 33]",False,sans-serif,#fee4b3,1.0,4ff45c45-3090-435e-bc13-6cb49bc254d1,2,9
1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,,images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-4ff45c45-3090-435e-bc13-6cb49bc254d1.png," [4, 77, 63, 59, 18, 5, 6, 45, 33]","[77, 4, 63, 59, 18, 6, 5, 45, 33]",False,sans-serif,#fee4b3,1.0,4ff45c45-3090-435e-bc13-6cb49bc254d1,3,9
1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,,images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-4ff45c45-3090-435e-bc13-6cb49bc254d1.png," `[33, 18, 63, 77, 4, 59, 45, 6, 5]`","[33, 18, 63, 77, 4, 59, 45, 6, 5]",True,sans-serif,#fee4b3,1.0,4ff45c45-3090-435e-bc13-6cb49bc254d1,1,9
1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,,images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-4ff45c45-3090-435e-bc13-6cb49bc254d1.png," `[33, 18, 63, 77, 4, 59, 45, 6, 5]`","[33, 18, 63, 77, 4, 59, 45, 6, 5]",True,sans-serif,#fee4b3,1.0,4ff45c45-3090-435e-bc13-6cb49bc254d1,2,9
1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,,images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-4ff45c45-3090-435e-bc13-6cb49bc254d1.png," [33, 18, 63, 77, 4, 59, 45, 6, 5]","[33, 18, 63, 77, 4, 59, 45, 6, 5]",True,sans-serif,#fee4b3,1.0,4ff45c45-3090-435e-bc13-6cb49bc254d1,3,9
1,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,,images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-4ff45c45-3090-435e-bc13-6cb49bc254d1.png," [4, 63, 77, 18, 59, 33, 6, 45, 5]","[77, 63, 4, 18, 59, 33, 6, 45, 5]",False,sans-serif,#fee4b3,1.0,4ff45c45-3090-435e-bc13-6cb49bc254d1,1,9
1,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,,images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-4ff45c45-3090-435e-bc13-6cb49bc254d1.png," [4, 63, 77, 18, 59, 33, 6, 45, 5]","[77, 63, 4, 18, 59, 33, 6, 45, 5]",False,sans-serif,#fee4b3,1.0,4ff45c45-3090-435e-bc13-6cb49bc254d1,2,9
1,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,,images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-4ff45c45-3090-435e-bc13-6cb49bc254d1.png," [4, 63, 77, 18, 59, 33, 6, 45, 5]","[77, 63, 4, 18, 59, 33, 6, 45, 5]",False,sans-serif,#fee4b3,1.0,4ff45c45-3090-435e-bc13-6cb49bc254d1,3,9
1,2,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,,images/binary_tree/bit_run-2_gen-1_var-2_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-5e186bfd-01e2-4f72-a23c-b6fe9fdbbb61.png," [63, 23, 5, 40, 28, 39, 72, 93]","[63, 93, 23, 5, 40, 28, 39, 72, 93]",False,sans-serif,#fee4b3,1.0,5e186bfd-01e2-4f72-a23c-b6fe9fdbbb61,1,9
