run,n_generation,n_variation,n_format,structure,text_task,text_prompt,image_prompt,model_response,extracted_response,expected_response,match,similarity,node_font,node_color,edge_width,task_id,attempt,num_nodes,resolution
1,1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-d58662d0-b710-4634-ac1b-51c0a7fc2ac8.png," `[10, 43, 82]`","[10, 43, 82]","[10, 43, 82]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,512
1,1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-d58662d0-b710-4634-ac1b-51c0a7fc2ac8.png," `[10, 43, 82]`","[10, 43, 82]","[10, 43, 82]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,512
1,1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-d58662d0-b710-4634-ac1b-51c0a7fc2ac8.png," `[10, 43, 82]`","[10, 43, 82]","[10, 43, 82]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,512
1,1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-d58662d0-b710-4634-ac1b-51c0a7fc2ac8.png," `[82, 10, 43]`","[82, 10, 43]","[82, 10, 43]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,512
1,1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-d58662d0-b710-4634-ac1b-51c0a7fc2ac8.png," `[82, 10, 43]`","[82, 10, 43]","[82, 10, 43]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,512
1,1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-d58662d0-b710-4634-ac1b-51c0a7fc2ac8.png," `[82, 10, 43]`","[82, 10, 43]","[82, 10, 43]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,512
1,1,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-d58662d0-b710-4634-ac1b-51c0a7fc2ac8.png," [10, 82, 43]","[10, 82, 43]","[10, 82, 43]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,512
1,1,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-d58662d0-b710-4634-ac1b-51c0a7fc2ac8.png," `[10, 82, 43]`","[10, 82, 43]","[10, 82, 43]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,512
1,1,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-d58662d0-b710-4634-ac1b-51c0a7fc2ac8.png," [10, 82, 43]","[10, 82, 43]","[10, 82, 43]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,512
2,1,2,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-d58662d0-b710-4634-ac1b-51c0a7fc2ac8.png," [90, 83, 56]","[90, 83, 56]","[90, 83, 56]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,512
