run,n_generation,n_variation,n_format,structure,text_task,text_prompt,image_prompt,model_response,extracted_response,expected_response,match,similarity,node_font,node_color,edge_width,task_id,attempt,num_nodes,resolution
1,1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-2_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-54dabae4-660a-4935-bf5b-1f49066211c0.png," [86, 5, 15]","[86, 5, 15]","[86, 5, 15]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,256
1,1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-2_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-54dabae4-660a-4935-bf5b-1f49066211c0.png," `[86, 5, 15]`","[86, 5, 15]","[86, 5, 15]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,256
1,1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-2_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-54dabae4-660a-4935-bf5b-1f49066211c0.png," [86, 5, 15]","[86, 5, 15]","[86, 5, 15]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,256
1,1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-2_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-54dabae4-660a-4935-bf5b-1f49066211c0.png," [15, 86, 5]","[15, 86, 5]","[15, 86, 5]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,256
1,1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-2_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-54dabae4-660a-4935-bf5b-1f49066211c0.png," [15, 86, 5]","[15, 86, 5]","[15, 86, 5]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,256
1,1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-2_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-54dabae4-660a-4935-bf5b-1f49066211c0.png," [15, 86, 5]","[15, 86, 5]","[15, 86, 5]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,256
1,1,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-2_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-54dabae4-660a-4935-bf5b-1f49066211c0.png," [86, 15, 5]","[86, 15, 5]","[86, 15, 5]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,256
1,1,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-2_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-54dabae4-660a-4935-bf5b-1f49066211c0.png," [86, 15, 5]","[86, 15, 5]","[86, 15, 5]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,256
1,1,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-2_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-54dabae4-660a-4935-bf5b-1f49066211c0.png," [86, 15, 5]","[86, 15, 5]","[86, 15, 5]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,256
2,1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-2_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-54dabae4-660a-4935-bf5b-1f49066211c0.png," `[86, 5, 15]`","[86, 5, 15]","[86, 5, 15]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,512
2,1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-2_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-54dabae4-660a-4935-bf5b-1f49066211c0.png," `[86, 5, 15]`","[86, 5, 15]","[86, 5, 15]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,512
2,1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-2_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-54dabae4-660a-4935-bf5b-1f49066211c0.png," [86, 5, 15]","[86, 5, 15]","[86, 5, 15]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,512
2,1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-2_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-54dabae4-660a-4935-bf5b-1f49066211c0.png," [15, 86, 5]","[15, 86, 5]","[15, 86, 5]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,512
2,1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-2_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-54dabae4-660a-4935-bf5b-1f49066211c0.png," [15, 86, 5]","[15, 86, 5]","[15, 86, 5]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,512
2,1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-2_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-54dabae4-660a-4935-bf5b-1f49066211c0.png," [15, 86, 5]","[15, 86, 5]","[15, 86, 5]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,512
2,1,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-2_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-54dabae4-660a-4935-bf5b-1f49066211c0.png," [86, 15, 5]","[86, 15, 5]","[86, 15, 5]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,512
2,1,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-2_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-54dabae4-660a-4935-bf5b-1f49066211c0.png," [86, 15, 5]","[86, 15, 5]","[86, 15, 5]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,512
2,1,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-2_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-54dabae4-660a-4935-bf5b-1f49066211c0.png," [86, 15, 5]","[86, 15, 5]","[86, 15, 5]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,512
3,1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-2_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-54dabae4-660a-4935-bf5b-1f49066211c0.png," [86, 5, 15]","[86, 5, 15]","[86, 5, 15]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,1024
3,1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-2_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-54dabae4-660a-4935-bf5b-1f49066211c0.png," [86, 5, 15]","[86, 5, 15]","[86, 5, 15]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,1024
3,1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-2_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-54dabae4-660a-4935-bf5b-1f49066211c0.png," [86, 5, 15]","[86, 5, 15]","[86, 5, 15]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,1024
3,1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-2_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-54dabae4-660a-4935-bf5b-1f49066211c0.png," [15, 86, 5]","[15, 86, 5]","[15, 86, 5]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,1024
3,1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-2_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-54dabae4-660a-4935-bf5b-1f49066211c0.png," [15, 86, 5]","[15, 86, 5]","[15, 86, 5]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,1024
3,1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-2_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-54dabae4-660a-4935-bf5b-1f49066211c0.png," [15, 86, 5]","[15, 86, 5]","[15, 86, 5]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,1024
