run_id,generation_id,variation_id,format_id,attempt_id,structure,task,text_prompt,image_prompt,response,predicted,ground_truth,match,similarity,node_font,node_color,node_shape,edge_width,arrow_style,num_nodes,num_edges,dgl_graph,resolution,task_id,image_id
1,1-0,1,1,1,binary_search_tree,pre_order,'Provide a list[int] of vertices representing the pre-order traversal for the image of the binary search tree.',images/binary_search_tree/bst-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_1275fb71-7b76-499f-8251-b74032973e89.png,"[7, 8, 9]","[7, 8, 9]","[7, 8, 9]",True,100.0,sans-serif,#ffffff,o,1.0,-|>,3,2,"{7: [8], 8: [7, 9], 9: [8]}",512,a62957a1-4d5a-4a21-82be-f8f8c8538976,1275fb71-7b76-499f-8251-b74032973e89
2,1-0,1,1,2,binary_search_tree,pre_order,'Provide a list[int] of vertices representing the pre-order traversal for the image of the binary search tree.',images/binary_search_tree/bst-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_1275fb71-7b76-499f-8251-b74032973e89.png,"[7, 8, 9]","[7, 8, 9]","[7, 8, 9]",True,100.0,sans-serif,#ffffff,o,1.0,-|>,3,2,"{7: [8], 8: [7, 9], 9: [8]}",512,a62957a1-4d5a-4a21-82be-f8f8c8538976,1275fb71-7b76-499f-8251-b74032973e89
3,1-0,1,1,3,binary_search_tree,pre_order,'Provide a list[int] of vertices representing the pre-order traversal for the image of the binary search tree.',images/binary_search_tree/bst-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_1275fb71-7b76-499f-8251-b74032973e89.png,"[7, 8, 9]","[7, 8, 9]","[7, 8, 9]",True,100.0,sans-serif,#ffffff,o,1.0,-|>,3,2,"{7: [8], 8: [7, 9], 9: [8]}",512,a62957a1-4d5a-4a21-82be-f8f8c8538976,1275fb71-7b76-499f-8251-b74032973e89
4,1-0,1,1,1,binary_search_tree,in_order,'Provide a list[int] of vertices representing the in-order traversal for the image of the binary search tree.',images/binary_search_tree/bst-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_1275fb71-7b76-499f-8251-b74032973e89.png,"[7, 8, 9]","[7, 8, 9]","[7, 8, 9]",True,100.0,sans-serif,#ffffff,o,1.0,-|>,3,2,"{7: [8], 8: [7, 9], 9: [8]}",512,65cb1c1a-6ed3-44e4-91e2-cbf4941b51fd,1275fb71-7b76-499f-8251-b74032973e89
5,1-0,1,1,2,binary_search_tree,in_order,'Provide a list[int] of vertices representing the in-order traversal for the image of the binary search tree.',images/binary_search_tree/bst-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_1275fb71-7b76-499f-8251-b74032973e89.png,"[7, 8, 9]","[7, 8, 9]","[7, 8, 9]",True,100.0,sans-serif,#ffffff,o,1.0,-|>,3,2,"{7: [8], 8: [7, 9], 9: [8]}",512,65cb1c1a-6ed3-44e4-91e2-cbf4941b51fd,1275fb71-7b76-499f-8251-b74032973e89
6,1-0,1,1,3,binary_search_tree,in_order,'Provide a list[int] of vertices representing the in-order traversal for the image of the binary search tree.',images/binary_search_tree/bst-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_1275fb71-7b76-499f-8251-b74032973e89.png,"[7, 8, 9]","[7, 8, 9]","[7, 8, 9]",True,100.0,sans-serif,#ffffff,o,1.0,-|>,3,2,"{7: [8], 8: [7, 9], 9: [8]}",512,65cb1c1a-6ed3-44e4-91e2-cbf4941b51fd,1275fb71-7b76-499f-8251-b74032973e89
7,1-0,1,1,1,binary_search_tree,post_order,'Provide a list[int] of vertices representing the post-order traversal for the image of the binary search tree.',images/binary_search_tree/bst-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_1275fb71-7b76-499f-8251-b74032973e89.png,"[9, 8, 7]","[9, 8, 7]","[9, 8, 7]",True,100.0,sans-serif,#ffffff,o,1.0,-|>,3,2,"{7: [8], 8: [7, 9], 9: [8]}",512,2b905025-d160-4be8-aba7-bec24689e7e8,1275fb71-7b76-499f-8251-b74032973e89
8,1-0,1,1,2,binary_search_tree,post_order,'Provide a list[int] of vertices representing the post-order traversal for the image of the binary search tree.',images/binary_search_tree/bst-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_1275fb71-7b76-499f-8251-b74032973e89.png,"The post-order traversal starts by visiting the left subtree, then the right subtree and finally the root node. In this case, the post-order traversal is:[9, 8, 7] ","[9, 8, 7]","[9, 8, 7]",True,100.0,sans-serif,#ffffff,o,1.0,-|>,3,2,"{7: [8], 8: [7, 9], 9: [8]}",512,2b905025-d160-4be8-aba7-bec24689e7e8,1275fb71-7b76-499f-8251-b74032973e89
9,1-0,1,1,3,binary_search_tree,post_order,'Provide a list[int] of vertices representing the post-order traversal for the image of the binary search tree.',images/binary_search_tree/bst-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_1275fb71-7b76-499f-8251-b74032973e89.png,"The post-order traversal for this tree is: [9, 8, 7]. ","[9, 8, 7]","[9, 8, 7]",True,100.0,sans-serif,#ffffff,o,1.0,-|>,3,2,"{7: [8], 8: [7, 9], 9: [8]}",512,2b905025-d160-4be8-aba7-bec24689e7e8,1275fb71-7b76-499f-8251-b74032973e89
10,1-0,1,2,1,binary_search_tree,pre_order,'Provide a list[int] of vertices representing the pre-order traversal for the image of the binary search tree.',images/binary_search_tree/bst-gen_1_0-var_1-fmt_2-wid_10-col_ffff00-fnt_sansserif-shp_o-arw_0-res_512-idn_4fa6e30e-5881-4da1-8c0e-9941426c4503.png,"[7, 8, 9]","[7, 8, 9]","[7, 8, 9]",True,100.0,sans-serif,#ffff00,o,1.0,-|>,3,2,"{7: [8], 8: [7, 9], 9: [8]}",512,71f5f464-b2ff-4e93-bf49-f6571f2ffa32,4fa6e30e-5881-4da1-8c0e-9941426c4503
