run,n_generation,n_variation,n_format,structure,task_type,text_prompt,image_prompt,model_response,extracted_response,expected_response,match,similarity,node_font,node_color,edge_width,task_id,attempt,num_nodes,resolution
1,1,1,1,binary_tree,pre_order,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-646136a5-36d2-4690-86cf-69efbe707824.png," `[41, 1, 4]`","[41, 1, 4]","[41, 1, 4]",True,100.0,sans-serif,#fee4b3,1.0,None,1,3,512
1,1,1,1,binary_tree,in_order,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-646136a5-36d2-4690-86cf-69efbe707824.png," `[1, 41, 4]`","[1, 41, 4]","[1, 41, 4]",True,100.0,sans-serif,#fee4b3,1.0,None,1,3,512
1,1,1,1,binary_tree,post_order,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-646136a5-36d2-4690-86cf-69efbe707824.png," `[1, 4, 41]`","[1, 4, 41]","[1, 4, 41]",True,100.0,sans-serif,#fee4b3,1.0,None,1,3,512
1,1,1,1,binary_search_tree,pre_order,'Provide a single-line python list representing the post-order traversal of the binary search tree.',images/binary_search_tree/bst_run-1_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-a959c697-2e48-4c7d-b0b3-8092671a0ee9.png," [83, 7, 94]","[83, 7, 94]","[83, 7, 94]",True,100.0,sans-serif,#fee4b3,1.0,None,1,3,512
1,1,1,1,binary_search_tree,in_order,'Provide a single-line python list representing the post-order traversal of the binary search tree.',images/binary_search_tree/bst_run-1_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-a959c697-2e48-4c7d-b0b3-8092671a0ee9.png," [7, 83, 94]","[7, 83, 94]","[7, 83, 94]",True,100.0,sans-serif,#fee4b3,1.0,None,1,3,512
1,1,1,1,binary_search_tree,post_order,'Provide a single-line python list representing the post-order traversal of the binary search tree.',images/binary_search_tree/bst_run-1_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-a959c697-2e48-4c7d-b0b3-8092671a0ee9.png," [7, 94, 83]","[7, 94, 83]","[7, 94, 83]",True,100.0,sans-serif,#fee4b3,1.0,None,1,3,512
1,1,1,1,undirected_graph,breadth_first_search,'Provide a single-line python dictionary representing the adjacency list of the undirected graph.',images/undirected_graph/ug_run-1_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-f9a46be6-b05d-44d9-bf01-183ac0a4986d.png," [1, 3, 2]","[1, 3, 2]","[1, 2, 3]",False,33.33333333333333,sans-serif,#fee4b3,1.0,None,1,3,512
1,1,1,1,undirected_graph,depth_first_search,'Provide a single-line python dictionary representing the adjacency list of the undirected graph.',images/undirected_graph/ug_run-1_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-f9a46be6-b05d-44d9-bf01-183ac0a4986d.png," `[1, 2, 3]`","[1, 2, 3]","[1, 2, 3]",True,100.0,sans-serif,#fee4b3,1.0,None,1,3,512
1,1,1,1,undirected_graph,adjacency_list,'Provide a single-line python dictionary representing the adjacency list of the undirected graph.',images/undirected_graph/ug_run-1_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-f9a46be6-b05d-44d9-bf01-183ac0a4986d.png," ```python\ngraph = {1: [2, 3], 2: [1, 3], 3: [1, 2]}\n```","{1: [2, 3], 2: [1, 3], 3: [1, 2]}","{1: [2, 3], 2: [1, 3], 3: [2, 1]}",True,100.0,sans-serif,#fee4b3,1.0,None,1,3,512
1,1,1,1,directed_graph,breadth_first_search,'Provide a single-line python dictionary representing the adjacency list of the directed graph.',images/directed_graph/dg_run-1_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-ea033373-963b-492a-aa61-54d393fc0546.png," [3, 2, 1]","[3, 2, 1]","[1, 2, 3]",False,33.33333333333333,sans-serif,#fee4b3,1.0,None,1,3,512
1,1,1,1,directed_graph,depth_first_search,'Provide a single-line python dictionary representing the adjacency list of the directed graph.',images/directed_graph/dg_run-1_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-ea033373-963b-492a-aa61-54d393fc0546.png," [3, 2, 1]","[3, 2, 1]","[1, 2, 3]",False,33.33333333333333,sans-serif,#fee4b3,1.0,None,1,3,512
1,1,1,1,directed_graph,adjacency_list,'Provide a single-line python dictionary representing the adjacency list of the directed graph.',images/directed_graph/dg_run-1_gen-1_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-ea033373-963b-492a-aa61-54d393fc0546.png," ```python\n{1: [2], 2: [3], 3: []}\n```","{1: [2], 2: [3], 3: []}","{1: [2], 2: [3], 3: [2]}",False,66.66666666666666,sans-serif,#fee4b3,1.0,None,1,3,512
