run,n_generation,n_variation,n_format,structure,text_task,text_prompt,image_prompt,model_response,extracted_response,expected_response,match,node_font,node_color,edge_width,task_id,attempt,num_nodes,resolution
1,1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-1_fmt-7_thk-05_clr-eeeeee_fnt-sansserif_res-512_idn-c0515e62-bb9e-4896-a496-5f5c951ce7c1.png," `[43, 87, 48]`","'43, 87, 48'","[43, 87, 48]",True,sans-serif,#abe0f9,0.5,None,3,3,512
1,1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-1_fmt-7_thk-05_clr-eeeeee_fnt-sansserif_res-512_idn-c0515e62-bb9e-4896-a496-5f5c951ce7c1.png," `[43, 87, 48]`","'43, 87, 48'","[43, 87, 48]",True,sans-serif,#abe0f9,0.5,None,3,3,512
1,1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-1_fmt-7_thk-05_clr-eeeeee_fnt-sansserif_res-512_idn-c0515e62-bb9e-4896-a496-5f5c951ce7c1.png," [43, 87, 48]","'43, 87, 48'","[43, 87, 48]",True,sans-serif,#abe0f9,0.5,None,3,3,512
1,1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-1_fmt-7_thk-05_clr-eeeeee_fnt-sansserif_res-512_idn-c0515e62-bb9e-4896-a496-5f5c951ce7c1.png," [48, 43, 87]","'48, 43, 87'","[48, 43, 87]",True,sans-serif,#abe0f9,0.5,None,3,3,512
1,1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-1_fmt-7_thk-05_clr-eeeeee_fnt-sansserif_res-512_idn-c0515e62-bb9e-4896-a496-5f5c951ce7c1.png," [48, 43, 87]","'48, 43, 87'","[48, 43, 87]",True,sans-serif,#abe0f9,0.5,None,3,3,512
1,1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-1_fmt-7_thk-05_clr-eeeeee_fnt-sansserif_res-512_idn-c0515e62-bb9e-4896-a496-5f5c951ce7c1.png," [48, 43, 87]","'48, 43, 87'","[48, 43, 87]",True,sans-serif,#abe0f9,0.5,None,3,3,512
1,1,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-1_fmt-7_thk-05_clr-eeeeee_fnt-sansserif_res-512_idn-c0515e62-bb9e-4896-a496-5f5c951ce7c1.png," [43, 48, 87]","'43, 48, 87'","[43, 48, 87]",True,sans-serif,#abe0f9,0.5,None,3,3,512
1,1,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-1_fmt-7_thk-05_clr-eeeeee_fnt-sansserif_res-512_idn-c0515e62-bb9e-4896-a496-5f5c951ce7c1.png," [43, 48, 87]","'43, 48, 87'","[43, 48, 87]",True,sans-serif,#abe0f9,0.5,None,3,3,512
1,1,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-1_fmt-7_thk-05_clr-eeeeee_fnt-sansserif_res-512_idn-c0515e62-bb9e-4896-a496-5f5c951ce7c1.png," `[43, 48, 87]`","'43, 48, 87'","[43, 48, 87]",True,sans-serif,#abe0f9,0.5,None,3,3,512
2,1,1,2,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-1_fmt-7_thk-05_clr-eeeeee_fnt-sansserif_res-512_idn-c0515e62-bb9e-4896-a496-5f5c951ce7c1.png," [43, 87, 48]","'43, 87, 48'","[43, 87, 48]",True,serif,#abe0f9,0.5,None,3,3,512
