run_id,generation_id,variation_id,format_id,attempt_id,structure,task,text_prompt,image_prompt,response,predicted,ground_truth,match,similarity,node_font,node_color,node_shape,edge_width,arrow_style,num_nodes,num_edges,dgl_graph,resolution,task_id,image_id
1,1-0,1,1,1,directed_graph,breadth_first_search,'Provide a list[int] of vertices representing the breadth-first search traversal for the image of the directed graph starting from vertex 1.',images/directed_graph/dg-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_8c101501-4c4d-4803-b123-686610e62077.png,"[1, 2, 3]","[1, 2, 3]","[1, 3, 2]",False,33.33333333333333,sans-serif,#ffffff,o,1.0,-|>,3,6,"{1: [3, 2], 2: [3, 1], 3: [2, 1]}",512,0d817a6e-d1c3-4223-b6fe-7695ad1b6071,8c101501-4c4d-4803-b123-686610e62077
2,1-0,1,1,2,directed_graph,breadth_first_search,'Provide a list[int] of vertices representing the breadth-first search traversal for the image of the directed graph starting from vertex 1.',images/directed_graph/dg-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_8c101501-4c4d-4803-b123-686610e62077.png,"[1, 2, 3]","[1, 2, 3]","[1, 3, 2]",False,33.33333333333333,sans-serif,#ffffff,o,1.0,-|>,3,6,"{1: [3, 2], 2: [3, 1], 3: [2, 1]}",512,0d817a6e-d1c3-4223-b6fe-7695ad1b6071,8c101501-4c4d-4803-b123-686610e62077
3,1-0,1,1,3,directed_graph,breadth_first_search,'Provide a list[int] of vertices representing the breadth-first search traversal for the image of the directed graph starting from vertex 1.',images/directed_graph/dg-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_8c101501-4c4d-4803-b123-686610e62077.png,"[1, 2, 3]","[1, 2, 3]","[1, 3, 2]",False,33.33333333333333,sans-serif,#ffffff,o,1.0,-|>,3,6,"{1: [3, 2], 2: [3, 1], 3: [2, 1]}",512,0d817a6e-d1c3-4223-b6fe-7695ad1b6071,8c101501-4c4d-4803-b123-686610e62077
4,1-0,1,1,1,directed_graph,depth_first_search,'Provide a list[int] of vertices representing the depth-first search traversal for the image of the directed graph starting from vertex 1.',images/directed_graph/dg-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_8c101501-4c4d-4803-b123-686610e62077.png,"[1, 2, 3]","[1, 2, 3]","[1, 3, 2]",False,33.33333333333333,sans-serif,#ffffff,o,1.0,-|>,3,6,"{1: [3, 2], 2: [3, 1], 3: [2, 1]}",512,965b5f9e-725b-4868-a8c5-240508fa1157,8c101501-4c4d-4803-b123-686610e62077
5,1-0,1,1,2,directed_graph,depth_first_search,'Provide a list[int] of vertices representing the depth-first search traversal for the image of the directed graph starting from vertex 1.',images/directed_graph/dg-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_8c101501-4c4d-4803-b123-686610e62077.png,"[1, 2, 3]","[1, 2, 3]","[1, 3, 2]",False,33.33333333333333,sans-serif,#ffffff,o,1.0,-|>,3,6,"{1: [3, 2], 2: [3, 1], 3: [2, 1]}",512,965b5f9e-725b-4868-a8c5-240508fa1157,8c101501-4c4d-4803-b123-686610e62077
6,1-0,1,1,3,directed_graph,depth_first_search,'Provide a list[int] of vertices representing the depth-first search traversal for the image of the directed graph starting from vertex 1.',images/directed_graph/dg-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_8c101501-4c4d-4803-b123-686610e62077.png,"[1, 2, 3]","[1, 2, 3]","[1, 3, 2]",False,33.33333333333333,sans-serif,#ffffff,o,1.0,-|>,3,6,"{1: [3, 2], 2: [3, 1], 3: [2, 1]}",512,965b5f9e-725b-4868-a8c5-240508fa1157,8c101501-4c4d-4803-b123-686610e62077
7,1-0,1,1,1,directed_graph,adjacency_list,"'Provide a dict[int, list[int]] of vertices and their edges representing the adjacency list for the image of the directed graph.'",images/directed_graph/dg-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_8c101501-4c4d-4803-b123-686610e62077.png,"{1: [], 2: [1, 3], 3: [1, 2]}","{1: [], 2: [1, 3], 3: [1, 2]}","{1: [3, 2], 3: [2, 1], 2: [3, 1]}",False,66.66666666666666,sans-serif,#ffffff,o,1.0,-|>,3,6,"{1: [3, 2], 2: [3, 1], 3: [2, 1]}",512,31357244-6e4c-4892-ab71-290e8511624d,8c101501-4c4d-4803-b123-686610e62077
8,1-0,1,1,2,directed_graph,adjacency_list,"'Provide a dict[int, list[int]] of vertices and their edges representing the adjacency list for the image of the directed graph.'",images/directed_graph/dg-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_8c101501-4c4d-4803-b123-686610e62077.png,"{1: [2], 2: [1, 3], 3: [1]}","{1: [2], 2: [1, 3], 3: [1]}","{1: [3, 2], 3: [2, 1], 2: [3, 1]}",False,66.66666666666666,sans-serif,#ffffff,o,1.0,-|>,3,6,"{1: [3, 2], 2: [3, 1], 3: [2, 1]}",512,31357244-6e4c-4892-ab71-290e8511624d,8c101501-4c4d-4803-b123-686610e62077
9,1-0,1,1,3,directed_graph,adjacency_list,"'Provide a dict[int, list[int]] of vertices and their edges representing the adjacency list for the image of the directed graph.'",images/directed_graph/dg-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_8c101501-4c4d-4803-b123-686610e62077.png,"{1: [2], 2: [1, 3], 3: [1]}","{1: [2], 2: [1, 3], 3: [1]}","{1: [3, 2], 3: [2, 1], 2: [3, 1]}",False,66.66666666666666,sans-serif,#ffffff,o,1.0,-|>,3,6,"{1: [3, 2], 2: [3, 1], 3: [2, 1]}",512,31357244-6e4c-4892-ab71-290e8511624d,8c101501-4c4d-4803-b123-686610e62077
10,1-0,1,2,1,directed_graph,breadth_first_search,'Provide a list[int] of vertices representing the breadth-first search traversal for the image of the directed graph starting from vertex 1.',images/directed_graph/dg-gen_1_0-var_1-fmt_2-wid_10-col_ffff00-fnt_sansserif-shp_o-arw_0-res_512-idn_bc439bc5-0875-45cd-b913-420b9188fbee.png,"[1, 2, 3]","[1, 2, 3]","[1, 3, 2]",False,33.33333333333333,sans-serif,#ffff00,o,1.0,-|>,3,6,"{1: [3, 2], 2: [3, 1], 3: [2, 1]}",512,c4f49e8c-e4ef-4c4b-9fb9-6f29cc3b73f1,bc439bc5-0875-45cd-b913-420b9188fbee
11,1-0,1,2,2,directed_graph,breadth_first_search,'Provide a list[int] of vertices representing the breadth-first search traversal for the image of the directed graph starting from vertex 1.',images/directed_graph/dg-gen_1_0-var_1-fmt_2-wid_10-col_ffff00-fnt_sansserif-shp_o-arw_0-res_512-idn_bc439bc5-0875-45cd-b913-420b9188fbee.png,"[1, 2, 3]","[1, 2, 3]","[1, 3, 2]",False,33.33333333333333,sans-serif,#ffff00,o,1.0,-|>,3,6,"{1: [3, 2], 2: [3, 1], 3: [2, 1]}",512,c4f49e8c-e4ef-4c4b-9fb9-6f29cc3b73f1,bc439bc5-0875-45cd-b913-420b9188fbee
12,1-0,1,2,3,directed_graph,breadth_first_search,'Provide a list[int] of vertices representing the breadth-first search traversal for the image of the directed graph starting from vertex 1.',images/directed_graph/dg-gen_1_0-var_1-fmt_2-wid_10-col_ffff00-fnt_sansserif-shp_o-arw_0-res_512-idn_bc439bc5-0875-45cd-b913-420b9188fbee.png,"[1, 2, 3]","[1, 2, 3]","[1, 3, 2]",False,33.33333333333333,sans-serif,#ffff00,o,1.0,-|>,3,6,"{1: [3, 2], 2: [3, 1], 3: [2, 1]}",512,c4f49e8c-e4ef-4c4b-9fb9-6f29cc3b73f1,bc439bc5-0875-45cd-b913-420b9188fbee
13,1-0,1,2,1,directed_graph,depth_first_search,'Provide a list[int] of vertices representing the depth-first search traversal for the image of the directed graph starting from vertex 1.',images/directed_graph/dg-gen_1_0-var_1-fmt_2-wid_10-col_ffff00-fnt_sansserif-shp_o-arw_0-res_512-idn_bc439bc5-0875-45cd-b913-420b9188fbee.png,"[1, 2, 3]","[1, 2, 3]","[1, 3, 2]",False,33.33333333333333,sans-serif,#ffff00,o,1.0,-|>,3,6,"{1: [3, 2], 2: [3, 1], 3: [2, 1]}",512,697966ab-73a1-49cc-b7b7-ada11373e527,bc439bc5-0875-45cd-b913-420b9188fbee
14,1-0,1,2,2,directed_graph,depth_first_search,'Provide a list[int] of vertices representing the depth-first search traversal for the image of the directed graph starting from vertex 1.',images/directed_graph/dg-gen_1_0-var_1-fmt_2-wid_10-col_ffff00-fnt_sansserif-shp_o-arw_0-res_512-idn_bc439bc5-0875-45cd-b913-420b9188fbee.png,"[1, 2, 3]","[1, 2, 3]","[1, 3, 2]",False,33.33333333333333,sans-serif,#ffff00,o,1.0,-|>,3,6,"{1: [3, 2], 2: [3, 1], 3: [2, 1]}",512,697966ab-73a1-49cc-b7b7-ada11373e527,bc439bc5-0875-45cd-b913-420b9188fbee
15,1-0,1,2,3,directed_graph,depth_first_search,'Provide a list[int] of vertices representing the depth-first search traversal for the image of the directed graph starting from vertex 1.',images/directed_graph/dg-gen_1_0-var_1-fmt_2-wid_10-col_ffff00-fnt_sansserif-shp_o-arw_0-res_512-idn_bc439bc5-0875-45cd-b913-420b9188fbee.png,"[1, 2, 3]","[1, 2, 3]","[1, 3, 2]",False,33.33333333333333,sans-serif,#ffff00,o,1.0,-|>,3,6,"{1: [3, 2], 2: [3, 1], 3: [2, 1]}",512,697966ab-73a1-49cc-b7b7-ada11373e527,bc439bc5-0875-45cd-b913-420b9188fbee
16,1-0,1,2,1,directed_graph,adjacency_list,"'Provide a dict[int, list[int]] of vertices and their edges representing the adjacency list for the image of the directed graph.'",images/directed_graph/dg-gen_1_0-var_1-fmt_2-wid_10-col_ffff00-fnt_sansserif-shp_o-arw_0-res_512-idn_bc439bc5-0875-45cd-b913-420b9188fbee.png,"```python{1: [2, 3], 2: [1, 3], 3: []}```","{1: [2, 3], 2: [1, 3], 3: []}","{1: [3, 2], 3: [2, 1], 2: [3, 1]}",False,66.66666666666666,sans-serif,#ffff00,o,1.0,-|>,3,6,"{1: [3, 2], 2: [3, 1], 3: [2, 1]}",512,34f79e89-7d29-426c-8459-073654c3c9b2,bc439bc5-0875-45cd-b913-420b9188fbee
17,1-0,1,2,2,directed_graph,adjacency_list,"'Provide a dict[int, list[int]] of vertices and their edges representing the adjacency list for the image of the directed graph.'",images/directed_graph/dg-gen_1_0-var_1-fmt_2-wid_10-col_ffff00-fnt_sansserif-shp_o-arw_0-res_512-idn_bc439bc5-0875-45cd-b913-420b9188fbee.png,"{1: [2, 3], 2: [1], 3: [2]}","{1: [2, 3], 2: [1], 3: [2]}","{1: [3, 2], 3: [2, 1], 2: [3, 1]}",False,66.66666666666666,sans-serif,#ffff00,o,1.0,-|>,3,6,"{1: [3, 2], 2: [3, 1], 3: [2, 1]}",512,34f79e89-7d29-426c-8459-073654c3c9b2,bc439bc5-0875-45cd-b913-420b9188fbee
18,1-0,1,2,3,directed_graph,adjacency_list,"'Provide a dict[int, list[int]] of vertices and their edges representing the adjacency list for the image of the directed graph.'",images/directed_graph/dg-gen_1_0-var_1-fmt_2-wid_10-col_ffff00-fnt_sansserif-shp_o-arw_0-res_512-idn_bc439bc5-0875-45cd-b913-420b9188fbee.png,"{1: [2], 2: [3], 3: [1]}","{1: [2], 2: [3], 3: [1]}","{1: [3, 2], 3: [2, 1], 2: [3, 1]}",False,50.0,sans-serif,#ffff00,o,1.0,-|>,3,6,"{1: [3, 2], 2: [3, 1], 3: [2, 1]}",512,34f79e89-7d29-426c-8459-073654c3c9b2,bc439bc5-0875-45cd-b913-420b9188fbee
19,1-0,1,3,1,directed_graph,breadth_first_search,'Provide a list[int] of vertices representing the breadth-first search traversal for the image of the directed graph starting from vertex 1.',images/directed_graph/dg-gen_1_0-var_1-fmt_3-wid_50-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_059f944e-2514-449d-82f9-d5956eb75a0e.png,"[1, 2, 3]","[1, 2, 3]","[1, 3, 2]",False,33.33333333333333,sans-serif,#ffffff,o,5.0,-|>,3,6,"{1: [3, 2], 2: [3, 1], 3: [2, 1]}",512,69bf44cf-3eaa-49ef-b646-a16f20835907,059f944e-2514-449d-82f9-d5956eb75a0e
20,1-0,1,3,2,directed_graph,breadth_first_search,'Provide a list[int] of vertices representing the breadth-first search traversal for the image of the directed graph starting from vertex 1.',images/directed_graph/dg-gen_1_0-var_1-fmt_3-wid_50-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_059f944e-2514-449d-82f9-d5956eb75a0e.png,"[1, 2, 3]","[1, 2, 3]","[1, 3, 2]",False,33.33333333333333,sans-serif,#ffffff,o,5.0,-|>,3,6,"{1: [3, 2], 2: [3, 1], 3: [2, 1]}",512,69bf44cf-3eaa-49ef-b646-a16f20835907,059f944e-2514-449d-82f9-d5956eb75a0e
21,1-0,1,3,3,directed_graph,breadth_first_search,'Provide a list[int] of vertices representing the breadth-first search traversal for the image of the directed graph starting from vertex 1.',images/directed_graph/dg-gen_1_0-var_1-fmt_3-wid_50-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_059f944e-2514-449d-82f9-d5956eb75a0e.png,"[1, 2, 3]","[1, 2, 3]","[1, 3, 2]",False,33.33333333333333,sans-serif,#ffffff,o,5.0,-|>,3,6,"{1: [3, 2], 2: [3, 1], 3: [2, 1]}",512,69bf44cf-3eaa-49ef-b646-a16f20835907,059f944e-2514-449d-82f9-d5956eb75a0e
22,1-0,1,3,1,directed_graph,depth_first_search,'Provide a list[int] of vertices representing the depth-first search traversal for the image of the directed graph starting from vertex 1.',images/directed_graph/dg-gen_1_0-var_1-fmt_3-wid_50-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_059f944e-2514-449d-82f9-d5956eb75a0e.png,"[1, 2, 3]","[1, 2, 3]","[1, 3, 2]",False,33.33333333333333,sans-serif,#ffffff,o,5.0,-|>,3,6,"{1: [3, 2], 2: [3, 1], 3: [2, 1]}",512,e34eadcb-dd60-4fd4-9a85-e7ad387654db,059f944e-2514-449d-82f9-d5956eb75a0e
23,1-0,1,3,2,directed_graph,depth_first_search,'Provide a list[int] of vertices representing the depth-first search traversal for the image of the directed graph starting from vertex 1.',images/directed_graph/dg-gen_1_0-var_1-fmt_3-wid_50-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_059f944e-2514-449d-82f9-d5956eb75a0e.png,"[1, 2, 3]","[1, 2, 3]","[1, 3, 2]",False,33.33333333333333,sans-serif,#ffffff,o,5.0,-|>,3,6,"{1: [3, 2], 2: [3, 1], 3: [2, 1]}",512,e34eadcb-dd60-4fd4-9a85-e7ad387654db,059f944e-2514-449d-82f9-d5956eb75a0e
24,1-0,1,3,3,directed_graph,depth_first_search,'Provide a list[int] of vertices representing the depth-first search traversal for the image of the directed graph starting from vertex 1.',images/directed_graph/dg-gen_1_0-var_1-fmt_3-wid_50-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_059f944e-2514-449d-82f9-d5956eb75a0e.png,"[1, 2, 3]","[1, 2, 3]","[1, 3, 2]",False,33.33333333333333,sans-serif,#ffffff,o,5.0,-|>,3,6,"{1: [3, 2], 2: [3, 1], 3: [2, 1]}",512,e34eadcb-dd60-4fd4-9a85-e7ad387654db,059f944e-2514-449d-82f9-d5956eb75a0e
25,1-0,1,3,1,directed_graph,adjacency_list,"'Provide a dict[int, list[int]] of vertices and their edges representing the adjacency list for the image of the directed graph.'",images/directed_graph/dg-gen_1_0-var_1-fmt_3-wid_50-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_059f944e-2514-449d-82f9-d5956eb75a0e.png,"{1: [2], 2: [1, 3], 3: [1, 2]}","{1: [2], 2: [1, 3], 3: [1, 2]}","{1: [3, 2], 3: [2, 1], 2: [3, 1]}",False,83.33333333333334,sans-serif,#ffffff,o,5.0,-|>,3,6,"{1: [3, 2], 2: [3, 1], 3: [2, 1]}",512,3a30ede8-e3a3-4ab7-a678-541b5509eaf9,059f944e-2514-449d-82f9-d5956eb75a0e
26,1-0,1,3,2,directed_graph,adjacency_list,"'Provide a dict[int, list[int]] of vertices and their edges representing the adjacency list for the image of the directed graph.'",images/directed_graph/dg-gen_1_0-var_1-fmt_3-wid_50-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_059f944e-2514-449d-82f9-d5956eb75a0e.png,"```python{1: [2], 2: [1, 3], 3: [1]}```","{1: [2], 2: [1, 3], 3: [1]}","{1: [3, 2], 3: [2, 1], 2: [3, 1]}",False,66.66666666666666,sans-serif,#ffffff,o,5.0,-|>,3,6,"{1: [3, 2], 2: [3, 1], 3: [2, 1]}",512,3a30ede8-e3a3-4ab7-a678-541b5509eaf9,059f944e-2514-449d-82f9-d5956eb75a0e
27,1-0,1,3,3,directed_graph,adjacency_list,"'Provide a dict[int, list[int]] of vertices and their edges representing the adjacency list for the image of the directed graph.'",images/directed_graph/dg-gen_1_0-var_1-fmt_3-wid_50-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_059f944e-2514-449d-82f9-d5956eb75a0e.png,"```python{1: [2, 3], 2: [1], 3: [2]}```","{1: [2, 3], 2: [1], 3: [2]}","{1: [3, 2], 3: [2, 1], 2: [3, 1]}",False,66.66666666666666,sans-serif,#ffffff,o,5.0,-|>,3,6,"{1: [3, 2], 2: [3, 1], 3: [2, 1]}",512,3a30ede8-e3a3-4ab7-a678-541b5509eaf9,059f944e-2514-449d-82f9-d5956eb75a0e
