run,n_generation,n_variation,n_format,structure,text_task,text_prompt,image_prompt,model_response,extracted_response,expected_response,match,node_font,node_color,edge_width,task_id,attempt,num_nodes,resolution
1,1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-2_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-1808c481-b7be-40e3-adb7-0e05aabc1402.png," `[18, 86, 76]`","'18, 86, 76'","[18, 86, 76]",True,sans-serif,#fee4b3,1.0,4a41e3da-8997-4bdc-b972-e022ba78935a,3,3,256
1,1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-2_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-1808c481-b7be-40e3-adb7-0e05aabc1402.png," `[18, 86, 76]`","'18, 86, 76'","[18, 86, 76]",True,sans-serif,#fee4b3,1.0,4a41e3da-8997-4bdc-b972-e022ba78935a,3,3,256
1,1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-2_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-1808c481-b7be-40e3-adb7-0e05aabc1402.png," `[18, 86, 76]`","'18, 86, 76'","[18, 86, 76]",True,sans-serif,#fee4b3,1.0,4a41e3da-8997-4bdc-b972-e022ba78935a,3,3,256
1,1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-2_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-1808c481-b7be-40e3-adb7-0e05aabc1402.png," `[76, 18, 86]`","'76, 18, 86'","[76, 18, 86]",True,sans-serif,#fee4b3,1.0,c6d24c35-ece7-4029-8afd-7660bd70db0f,3,3,256
1,1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-2_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-1808c481-b7be-40e3-adb7-0e05aabc1402.png," `[76, 18, 86]`","'76, 18, 86'","[76, 18, 86]",True,sans-serif,#fee4b3,1.0,c6d24c35-ece7-4029-8afd-7660bd70db0f,3,3,256
1,1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-2_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-1808c481-b7be-40e3-adb7-0e05aabc1402.png," `[76, 18, 86]`","'76, 18, 86'","[76, 18, 86]",True,sans-serif,#fee4b3,1.0,c6d24c35-ece7-4029-8afd-7660bd70db0f,3,3,256
1,1,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-2_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-1808c481-b7be-40e3-adb7-0e05aabc1402.png," `[18, 76, 86]`","'18, 76, 86'","[18, 76, 86]",True,sans-serif,#fee4b3,1.0,20c74ad9-caa8-4385-99f5-0c34335808c7,3,3,256
1,1,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-2_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-1808c481-b7be-40e3-adb7-0e05aabc1402.png," `[18, 76, 86]`","'18, 76, 86'","[18, 76, 86]",True,sans-serif,#fee4b3,1.0,20c74ad9-caa8-4385-99f5-0c34335808c7,3,3,256
1,1,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-2_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-1808c481-b7be-40e3-adb7-0e05aabc1402.png," `[18, 76, 86]`","'18, 76, 86'","[18, 76, 86]",True,sans-serif,#fee4b3,1.0,20c74ad9-caa8-4385-99f5-0c34335808c7,3,3,256
2,1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-2_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-1024_idn-1808c481-b7be-40e3-adb7-0e05aabc1402.png," [18, 86, 76]","'18, 86, 76'","[18, 86, 76]",True,sans-serif,#fee4b3,1.0,94620232-1e8d-4ba7-bc2f-a48d118ebdb6,3,3,512
