n_generation,n_variation,n_format,structure,text_task,text_prompt,image_prompt,model_response,extracted_response,expected_response,match,node_font,node_color,edge_width,task_id,attempt,num_nodes
1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-9f9104d1-1ffa-4faf-b372-1504aeaeb26f.png," `[21, 91, 28]`","'21, 91, 28'","[21, 91, 28]",True,sans-serif,#fee4b3,1.0,4c75f500-18d0-4776-8d63-762d7961d988,1,3
1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-9f9104d1-1ffa-4faf-b372-1504aeaeb26f.png," `[21, 91, 28]`","'21, 91, 28'","[21, 91, 28]",True,sans-serif,#fee4b3,1.0,4c75f500-18d0-4776-8d63-762d7961d988,2,3
1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-9f9104d1-1ffa-4faf-b372-1504aeaeb26f.png," `[21, 91, 28]`","'21, 91, 28'","[21, 91, 28]",True,sans-serif,#fee4b3,1.0,4c75f500-18d0-4776-8d63-762d7961d988,3,3
1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-9f9104d1-1ffa-4faf-b372-1504aeaeb26f.png," `[28, 21, 91]`","'28, 21, 91'","[28, 21, 91]",True,sans-serif,#fee4b3,1.0,bc4b7964-3129-4703-9cd9-7fc242a96e21,1,3
1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-9f9104d1-1ffa-4faf-b372-1504aeaeb26f.png," `[28, 21, 91]`","'28, 21, 91'","[28, 21, 91]",True,sans-serif,#fee4b3,1.0,bc4b7964-3129-4703-9cd9-7fc242a96e21,2,3
1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-9f9104d1-1ffa-4faf-b372-1504aeaeb26f.png," `[28, 21, 91]`","'28, 21, 91'","[28, 21, 91]",True,sans-serif,#fee4b3,1.0,bc4b7964-3129-4703-9cd9-7fc242a96e21,3,3
1,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-9f9104d1-1ffa-4faf-b372-1504aeaeb26f.png," `[21, 28, 91]`","'21, 28, 91'","[21, 28, 91]",True,sans-serif,#fee4b3,1.0,68064b6a-348a-4003-8f01-104df71bbe32,1,3
1,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-9f9104d1-1ffa-4faf-b372-1504aeaeb26f.png," `[21, 28, 91]`","'21, 28, 91'","[21, 28, 91]",True,sans-serif,#fee4b3,1.0,68064b6a-348a-4003-8f01-104df71bbe32,2,3
1,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-1_gen-1_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-9f9104d1-1ffa-4faf-b372-1504aeaeb26f.png," `[21, 28, 91]`","'21, 28, 91'","[21, 28, 91]",True,sans-serif,#fee4b3,1.0,68064b6a-348a-4003-8f01-104df71bbe32,3,3
2,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit_run-2_gen-2_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-8eb7517a-ad58-428e-89f3-4cd30d9b683d.png," [81, 13, 53, 61]","'81, 13, 53, 61'","[81, 13, 53, 61]",True,sans-serif,#fee4b3,1.0,37b1c1a0-b000-44ea-a3d2-e33f25f8a2de,1,4
