run,n_generation,n_variation,n_format,structure,text_task,text_prompt,image_prompt,model_response,extracted_response,expected_response,match,node_font,node_color,edge_width,task_id,attempt,num_nodes,resolution
1,1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-1_fmt-7_thk-05_clr-eeeeee_fnt-sansserif_res-512_idn-5b509c5b-83ee-4300-93a2-39c9f4ec87e1.png," [73, 66, 88, 23, 36, 57, 42, 22]","'73, 66, 88, 23, 36, 57, 42, 22'","[73, 66, 23, 88, 57, 22, 42, 36]",False,sans-serif,#abe0f9,0.5,edfb961a-41e9-4ffe-b5a6-d1a3a85be872,3,8,512
1,1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-1_fmt-7_thk-05_clr-eeeeee_fnt-sansserif_res-512_idn-5b509c5b-83ee-4300-93a2-39c9f4ec87e1.png," [66, 23, 88, 57, 22, 42, 73, 36]","'66, 23, 88, 57, 22, 42, 73, 36'","[73, 66, 23, 88, 57, 22, 42, 36]",False,sans-serif,#abe0f9,0.5,edfb961a-41e9-4ffe-b5a6-d1a3a85be872,3,8,512
1,1,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-1_fmt-7_thk-05_clr-eeeeee_fnt-sansserif_res-512_idn-5b509c5b-83ee-4300-93a2-39c9f4ec87e1.png," [73, 66, 23, 88, 57, 22, 42, 36]","'73, 66, 23, 88, 57, 22, 42, 36'","[73, 66, 23, 88, 57, 22, 42, 36]",True,sans-serif,#abe0f9,0.5,edfb961a-41e9-4ffe-b5a6-d1a3a85be872,3,8,512
1,1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-1_fmt-7_thk-05_clr-eeeeee_fnt-sansserif_res-512_idn-5b509c5b-83ee-4300-93a2-39c9f4ec87e1.png," `[36, 88, 66, 73, 23, 42, 57, 22]`","'36, 88, 66, 73, 23, 42, 57, 22'","[36, 88, 66, 73, 23, 42, 57, 22]",True,sans-serif,#abe0f9,0.5,aada899c-75ee-42a5-bf2d-15c0a869a509,3,8,512
1,1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-1_fmt-7_thk-05_clr-eeeeee_fnt-sansserif_res-512_idn-5b509c5b-83ee-4300-93a2-39c9f4ec87e1.png," `[36, 88, 66, 73, 23, 42, 57, 22]`","'36, 88, 66, 73, 23, 42, 57, 22'","[36, 88, 66, 73, 23, 42, 57, 22]",True,sans-serif,#abe0f9,0.5,aada899c-75ee-42a5-bf2d-15c0a869a509,3,8,512
1,1,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-1_fmt-7_thk-05_clr-eeeeee_fnt-sansserif_res-512_idn-5b509c5b-83ee-4300-93a2-39c9f4ec87e1.png," `[36, 88, 66, 73, 23, 42, 57, 22]`","'36, 88, 66, 73, 23, 42, 57, 22'","[36, 88, 66, 73, 23, 42, 57, 22]",True,sans-serif,#abe0f9,0.5,aada899c-75ee-42a5-bf2d-15c0a869a509,3,8,512
1,1,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-1_fmt-7_thk-05_clr-eeeeee_fnt-sansserif_res-512_idn-5b509c5b-83ee-4300-93a2-39c9f4ec87e1.png," [66, 73, 88, 23, 36, 57, 42, 22]","'66, 73, 88, 23, 36, 57, 42, 22'","[73, 66, 88, 23, 36, 57, 42, 22]",False,sans-serif,#abe0f9,0.5,288b38c0-5e5f-43f0-9a5e-2183a680e280,3,8,512
1,1,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-1_fmt-7_thk-05_clr-eeeeee_fnt-sansserif_res-512_idn-5b509c5b-83ee-4300-93a2-39c9f4ec87e1.png," [66, 73, 88, 23, 36, 57, 42, 22]","'66, 73, 88, 23, 36, 57, 42, 22'","[73, 66, 88, 23, 36, 57, 42, 22]",False,sans-serif,#abe0f9,0.5,288b38c0-5e5f-43f0-9a5e-2183a680e280,3,8,512
1,1,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-1_fmt-7_thk-05_clr-eeeeee_fnt-sansserif_res-512_idn-5b509c5b-83ee-4300-93a2-39c9f4ec87e1.png," [66, 73, 88, 23, 36, 57, 42, 22]","'66, 73, 88, 23, 36, 57, 42, 22'","[73, 66, 88, 23, 36, 57, 42, 22]",False,sans-serif,#abe0f9,0.5,288b38c0-5e5f-43f0-9a5e-2183a680e280,3,8,512
2,1,1,2,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-1_fmt-7_thk-05_clr-eeeeee_fnt-sansserif_res-512_idn-5b509c5b-83ee-4300-93a2-39c9f4ec87e1.png," [73, 66, 23, 88, 57, 22, 42, 6]","'73, 66, 23, 88, 57, 22, 42, 6'","[73, 66, 23, 88, 57, 22, 42, 36]",False,serif,#abe0f9,0.5,4a10bd94-c5d7-4e82-ae87-dcd2ffb08745,3,8,512
2,1,1,2,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-1_fmt-7_thk-05_clr-eeeeee_fnt-sansserif_res-512_idn-5b509c5b-83ee-4300-93a2-39c9f4ec87e1.png," [73, 66, 23, 88, 57, 22, 42, 36]","'73, 66, 23, 88, 57, 22, 42, 36'","[73, 66, 23, 88, 57, 22, 42, 36]",True,serif,#abe0f9,0.5,4a10bd94-c5d7-4e82-ae87-dcd2ffb08745,3,8,512
2,1,1,2,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-1_fmt-7_thk-05_clr-eeeeee_fnt-sansserif_res-512_idn-5b509c5b-83ee-4300-93a2-39c9f4ec87e1.png," [73, 66, 23, 88, 57, 22, 42, 36]","'73, 66, 23, 88, 57, 22, 42, 36'","[73, 66, 23, 88, 57, 22, 42, 36]",True,serif,#abe0f9,0.5,4a10bd94-c5d7-4e82-ae87-dcd2ffb08745,3,8,512
2,1,1,2,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-1_fmt-7_thk-05_clr-eeeeee_fnt-sansserif_res-512_idn-5b509c5b-83ee-4300-93a2-39c9f4ec87e1.png," [3, 6, 88, 66, 73, 23, 42, 57, 22]","'3, 6, 88, 66, 73, 23, 42, 57, 22'","[36, 88, 66, 73, 23, 42, 57, 22]",False,serif,#abe0f9,0.5,b63ffb29-268a-44f9-97f0-2c93d63e16e7,3,8,512
2,1,1,2,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-1_var-1_fmt-7_thk-05_clr-eeeeee_fnt-sansserif_res-512_idn-5b509c5b-83ee-4300-93a2-39c9f4ec87e1.png," `[3, 6, 88, 66, 73, 23, 42, 57, 22]`","'3, 6, 88, 66, 73, 23, 42, 57, 22'","[36, 88, 66, 73, 23, 42, 57, 22]",False,serif,#abe0f9,0.5,b63ffb29-268a-44f9-97f0-2c93d63e16e7,3,8,512
