run_id,generation_id,variation_id,format_id,attempt_id,structure,task,text_prompt,image_prompt,response,predicted,ground_truth,match,similarity,node_font,node_color,node_shape,edge_width,arrow_style,num_nodes,resolution,task_id,image_id
1,1-0,1,1,1,binary_tree,pre_order,'Provide a single-line Python list[int] representing the pre-order traversal for the image of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_00c620d7-d624-4f6b-9f14-d36f0bb69951.png," [54, 74, 58]","[54, 74, 58]","[58, 74, 54]",False,33.33333333333333,sans-serif,#ffffff,o,1.0,-|>,3,512,1ef28bc9-8907-4df4-a3c9-80f14ca3a331,00c620d7-d624-4f6b-9f14-d36f0bb69951
2,1-0,1,1,2,binary_tree,pre_order,'Provide a single-line Python list[int] representing the pre-order traversal for the image of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_00c620d7-d624-4f6b-9f14-d36f0bb69951.png," [54, 74, 58]","[54, 74, 58]","[58, 74, 54]",False,33.33333333333333,sans-serif,#ffffff,o,1.0,-|>,3,512,1ef28bc9-8907-4df4-a3c9-80f14ca3a331,00c620d7-d624-4f6b-9f14-d36f0bb69951
3,1-0,1,1,3,binary_tree,pre_order,'Provide a single-line Python list[int] representing the pre-order traversal for the image of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_00c620d7-d624-4f6b-9f14-d36f0bb69951.png," [74, 54, 58]","[74, 54, 58]","[58, 74, 54]",False,33.33333333333333,sans-serif,#ffffff,o,1.0,-|>,3,512,1ef28bc9-8907-4df4-a3c9-80f14ca3a331,00c620d7-d624-4f6b-9f14-d36f0bb69951
4,1-0,1,1,1,binary_tree,in_order,'Provide a single-line Python list[int] representing the in-order traversal for the image of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_00c620d7-d624-4f6b-9f14-d36f0bb69951.png," [54, 74, 58]","[54, 74, 58]","[54, 74, 58]",True,100.0,sans-serif,#ffffff,o,1.0,-|>,3,512,d08975e7-eb3b-4806-b066-03d2f2dda0dd,00c620d7-d624-4f6b-9f14-d36f0bb69951
5,1-0,1,1,2,binary_tree,in_order,'Provide a single-line Python list[int] representing the in-order traversal for the image of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_00c620d7-d624-4f6b-9f14-d36f0bb69951.png," [54, 74, 58]","[54, 74, 58]","[54, 74, 58]",True,100.0,sans-serif,#ffffff,o,1.0,-|>,3,512,d08975e7-eb3b-4806-b066-03d2f2dda0dd,00c620d7-d624-4f6b-9f14-d36f0bb69951
6,1-0,1,1,3,binary_tree,in_order,'Provide a single-line Python list[int] representing the in-order traversal for the image of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_00c620d7-d624-4f6b-9f14-d36f0bb69951.png," [54, 74, 58]","[54, 74, 58]","[54, 74, 58]",True,100.0,sans-serif,#ffffff,o,1.0,-|>,3,512,d08975e7-eb3b-4806-b066-03d2f2dda0dd,00c620d7-d624-4f6b-9f14-d36f0bb69951
7,1-0,1,1,1,binary_tree,post_order,'Provide a single-line Python list[int] representing the post-order traversal for the image of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_00c620d7-d624-4f6b-9f14-d36f0bb69951.png," [54, 74, 58]","[54, 74, 58]","[54, 74, 58]",True,100.0,sans-serif,#ffffff,o,1.0,-|>,3,512,35b2fc72-0a54-4372-baf4-9794be8aefcf,00c620d7-d624-4f6b-9f14-d36f0bb69951
8,1-0,1,1,2,binary_tree,post_order,'Provide a single-line Python list[int] representing the post-order traversal for the image of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_00c620d7-d624-4f6b-9f14-d36f0bb69951.png," [54, 74, 58]","[54, 74, 58]","[54, 74, 58]",True,100.0,sans-serif,#ffffff,o,1.0,-|>,3,512,35b2fc72-0a54-4372-baf4-9794be8aefcf,00c620d7-d624-4f6b-9f14-d36f0bb69951
9,1-0,1,1,3,binary_tree,post_order,'Provide a single-line Python list[int] representing the post-order traversal for the image of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_1-wid_10-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_00c620d7-d624-4f6b-9f14-d36f0bb69951.png," [54, 74, 58]","[54, 74, 58]","[54, 74, 58]",True,100.0,sans-serif,#ffffff,o,1.0,-|>,3,512,35b2fc72-0a54-4372-baf4-9794be8aefcf,00c620d7-d624-4f6b-9f14-d36f0bb69951
10,1-0,1,2,1,binary_tree,pre_order,'Provide a single-line Python list[int] representing the pre-order traversal for the image of the binary tree.',images/binary_tree/bit-gen_1_0-var_1-fmt_2-wid_30-col_ffffff-fnt_sansserif-shp_o-arw_0-res_512-idn_4f6b1cc3-afb6-42aa-ac51-7295acd76c85.png," [74, 54, 58]","[74, 54, 58]","[58, 74, 54]",False,33.33333333333333,sans-serif,#ffffff,o,3.0,-|>,3,512,9d96530c-ab20-4127-a776-ddfccfd139ef,4f6b1cc3-afb6-42aa-ac51-7295acd76c85
